year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,,28.0,7.0,21.0,1.0,13.0,10.0,2.0,2.0,21.0,5.0,2.0,,28.0,9.0,,,,,,,,,,,,,,,
1993,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
1993,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,
1993,58,115.0,Macon,6,Central,Mostly Urban,15.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,75,149.0,Pike,8,Central,Mostly Rural,72.3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1993,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,5.0,,5.0,,1.0,3.0,,1.0,5.0,,,1.0,4.0,1.0,,,,,,,,,,,,,,,
1993,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1993,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1993,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,
1994,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,3.0,,3.0,,,2.0,1.0,,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,,
