year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,indicated_abuse_neglect,indicated_sexual_abuse,reported_abuse_neglect,reported_sexual_abuse,indicated_abuse_neglect_rate,indicated_sexual_abuse_rate,reported_abuse_neglect_rate,reported_sexual_abuse_rate
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,17594,345.0,40.0,899.0,87.0,1960.9,227.4,5109.7,494.5
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2796,65.0,8.0,259.0,27.0,2324.7,286.1,9263.2,965.7
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3924,64.0,3.0,188.0,17.0,1631.0,76.5,4791.0,433.2
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,10702,117.0,23.0,361.0,44.0,1093.3,214.9,3373.2,411.1
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,1290,11.0,1.0,43.0,3.0,852.7,77.5,3333.3,232.6
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,9256,106.0,18.0,321.0,31.0,1145.2,194.5,3468.0,334.9
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1214,10.0,1.0,33.0,1.0,823.7,82.4,2718.3,82.4
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4230,55.0,8.0,158.0,18.0,1300.2,189.1,3735.2,425.5
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,3455,65.0,4.0,199.0,15.0,1881.3,115.8,5759.8,434.2
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,38089,749.0,56.0,2111.0,155.0,1966.4,147.0,5542.3,406.9
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,8808,195.0,25.0,519.0,51.0,2213.9,283.8,5892.4,579.0
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,4150,61.0,8.0,194.0,13.0,1469.9,192.8,4674.7,313.3
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3614,79.0,14.0,172.0,24.0,2185.9,387.4,4759.3,664.1
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,9158,111.0,11.0,223.0,25.0,1212.1,120.1,2435.0,273.0
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,10990,305.0,32.0,802.0,72.0,2775.3,291.2,7297.5,655.1
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1365841,25781.0,1622.0,63965.0,3876.0,1887.6,118.8,4683.2,283.8
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4929,137.0,27.0,266.0,44.0,2779.5,547.8,5396.6,892.7
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,3027,45.0,9.0,127.0,16.0,1486.6,297.3,4195.6,528.6
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,18950,293.0,25.0,652.0,45.0,1546.2,131.9,3440.6,237.5
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,4266,107.0,20.0,289.0,39.0,2508.2,468.8,6774.5,914.2
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5520,53.0,5.0,154.0,13.0,960.1,90.6,2789.9,235.5
1995,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,229514,1028.0,119.0,3414.0,337.0,447.9,51.8,1487.5,146.8
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,5018,125.0,26.0,301.0,43.0,2491.0,518.1,5998.4,856.9
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1754,27.0,3.0,48.0,4.0,1539.3,171.0,2736.6,228.1
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9803,122.0,12.0,334.0,30.0,1244.5,122.4,3407.1,306.0
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5290,80.0,10.0,281.0,52.0,1512.3,189.0,5311.9,983.0
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,3714,71.0,9.0,177.0,24.0,1911.7,242.3,4765.8,646.2
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9517,194.0,35.0,608.0,68.0,2038.5,367.8,6388.6,714.5
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,9014,240.0,27.0,588.0,63.0,2662.5,299.5,6523.2,698.9
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1552,26.0,3.0,87.0,10.0,1675.3,193.3,5605.7,644.3
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,3965,100.0,13.0,253.0,24.0,2522.1,327.9,6380.8,605.3
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9590,78.0,14.0,276.0,27.0,813.3,146.0,2878.0,281.5
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2083,32.0,2.0,80.0,9.0,1536.2,96.0,3840.6,432.1
