year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,reported_case,reported_case_rate
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,15120,37.0,244.7
1993,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2349,20.0,851.4
1993,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3352,42.0,1253.0
1993,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5177,9.0,173.8
1993,5,9.0,Brown,8,Central,Mostly Urban,41.1,1181,4.0,338.7
1993,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8290,15.0,180.9
1993,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1332,3.0,225.2
1993,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,4043,9.0,222.6
1993,9,17.0,Cass,8,Central,Mostly Rural,52.1,2989,4.0,133.8
1993,10,19.0,Champaign,6,Central,Mostly Urban,12.7,21205,45.0,212.2
1993,11,21.0,Christian,4,Central,Mostly Urban,43.5,7885,19.0,241.0
1993,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3891,6.0,154.2
1993,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3501,4.0,114.3
1993,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,6431,37.0,575.3
1993,15,29.0,Coles,5,Central,Mostly Urban,24.3,9217,34.0,368.9
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,852442,1459.0,171.2
1993,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4570,4.0,87.5
1993,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2299,10.0,435.0
1993,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,10831,12.0,110.8
1993,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3485,7.0,200.9
1993,21,41.0,Douglas,6,Central,Mostly Rural,61.6,3999,1.0,25.0
1993,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,105098,66.0,62.8
1993,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4697,13.0,276.8
1993,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1781,2.0,112.3
1993,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,5869,9.0,153.3
1993,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,4582,6.0,130.9
1993,27,53.0,Ford,11,Central,Mostly Urban,41.8,3454,0.0,0.0
1993,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,9847,35.0,355.4
1993,29,57.0,Fulton,9,Central,Mostly Rural,60.0,9104,49.0,538.2
1993,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1637,6.0,366.5
1993,31,61.0,Greene,7,Central,Mostly Rural,70.8,3540,40.0,1129.9
1993,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,5663,4.0,70.6
1993,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,2260,4.0,177.0
1993,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5021,7.0,139.4
1993,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1232,6.0,487.0
1993,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1768,3.0,169.7
1993,37,73.0,Henry,14,Central,Mostly Rural,50.3,10640,25.0,235.0
1993,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7349,15.0,204.1
1993,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,8517,26.0,305.3
1993,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2216,1.0,45.1
1993,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,7914,60.0,758.2
1993,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,3975,11.0,276.7
1993,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5060,6.0,118.6
1993,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2295,8.0,348.6
1993,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,41912,77.0,183.7
1993,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,17774,70.0,393.8
1993,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5106,3.0,58.8
1993,48,95.0,Knox,9,Central,Mostly Urban,24.3,12613,24.0,190.3
1993,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,66440,71.0,106.9
1993,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,23891,61.0,255.3
1993,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,4175,7.0,167.7
1993,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,6767,5.0,73.9
1993,53,105.0,Livingston,11,Central,Mostly Urban,40.8,7995,8.0,100.1
1993,54,107.0,Logan,11,Central,Mostly Urban,39.9,6167,5.0,81.1
1993,55,109.0,McDonough,9,Central,Mostly Urban,29.5,6092,6.0,98.5
1993,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,25355,38.0,149.9
1993,57,113.0,McLean,11,Central,Mostly Urban,16.5,18401,57.0,309.8
