year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,addiction,delinquency,mrai,trauncy,addiction_rate,delinquency_rate,mrai_rate,trauncy_rate
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,7066,,30.0,,,,424.6,,
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1108,,2.0,,,,180.5,,
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1597,,15.0,,,,939.3,,
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4215,,2.0,,,,47.4,,
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,,2.0,,,,379.5,,
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3858,,60.0,,,,1555.2,,
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,500,,4.0,,,,800.0,,
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1798,,20.0,,,,1112.3,,
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,1398,,28.0,,,,2002.9,,
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14066,,21.0,,,,149.3,,
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,3567,,32.0,,,,897.1,,
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1670,,16.0,,,,958.1,,
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1469,,22.0,,,,1497.6,,
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3762,,41.0,,,,1089.8,,
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,4369,,33.0,,,,755.3,,
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,507326,,2976.0,,,,586.6,,
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2080,,5.0,,,,240.4,,
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1232,,1.0,,,,81.2,,
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7209,,81.0,,,,1123.6,,
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1702,,0.0,,,,0.0,,
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2263,,2.0,,,,88.4,,
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2133,,0.0,,,,0.0,,
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,726,,15.0,,,,2066.1,,
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3832,,20.0,,,,521.9,,
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2167,,30.0,,,,1384.4,,
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,1560,,0.0,,,,0.0,,
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,3999,,20.0,,,,500.1,,
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3831,,25.0,,,,652.6,,
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,625,,1.0,,,,160.0,,
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,1643,,0.0,,,,0.0,,
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3906,,15.0,,,,384.0,,
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,860,,0.0,,,,0.0,,
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2269,,14.0,,,,617.0,,
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,458,,10.0,,,,2183.4,,
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,852,,1.0,,,,117.4,,
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,5723,,11.0,,,,192.2,,
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3429,,0.0,,,,0.0,,
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4619,,23.0,,,,497.9,,
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1237,,8.0,,,,646.7,,
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4078,,0.0,,,,0.0,,
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2305,,37.0,,,,1605.2,,
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2323,,3.0,,,,129.1,,
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,985,,0.0,,,,0.0,,
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,40215,,65.0,,,,161.6,,
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11219,,21.0,,,,187.2,,
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5235,,9.0,,,,171.9,,
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,5326,,3.0,,,,56.3,,
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,61596,,18.0,,,,29.2,,
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11419,,137.0,,,,1199.8,,
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1555,,8.0,,,,514.5,,
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3810,,2.0,,,,52.5,,
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4172,,16.0,,,,383.5,,
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,2918,,22.0,,,,753.9,,
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2561,,14.0,,,,546.7,,
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,25892,,97.0,,,,374.6,,
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,12730,,20.0,,,,157.1,,
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,12154,,86.0,,,,707.6,,
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5230,,59.0,,,,1128.1,,
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,25996,,274.0,,,,1054.0,,
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4418,,0.0,,,,0.0,,
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,1313,,12.0,,,,913.9,,
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,1750,,0.0,,,,0.0,,
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1437,,4.0,,,,278.4,,
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,1371,,9.0,,,,656.5,,
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1883,,0.0,,,,0.0,,
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,2687,,22.0,,,,818.8,,
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,3103,,31.0,,,,999.0,,
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3637,,0.0,,,,0.0,,
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1526,,14.0,,,,917.4,,
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,5605,,51.0,,,,909.9,,
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,18559,,20.0,,,,107.8,,
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2257,,4.0,,,,177.2,,
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1695,,0.0,,,,0.0,,
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,1801,,0.0,,,,0.0,,
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,431,,0.0,,,,0.0,,
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,891,,0.0,,,,0.0,,
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,618,,16.0,,,,2589.0,,
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3385,,0.0,,,,0.0,,
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,1714,,0.0,,,,0.0,,
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,14911,,12.0,,,,80.5,,
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,29476,,153.0,,,,519.1,,
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,2749,,23.0,,,,836.7,,
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,18981,,29.0,,,,152.8,,
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,767,,2.0,,,,260.8,,
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,592,,0.0,,,,0.0,,
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,2463,,20.0,,,,812.0,,
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,685,,36.0,,,,5255.5,,
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5097,,76.0,,,,1491.1,,
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,13322,,128.0,,,,960.8,,
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,1796,,4.0,,,,222.7,,
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,8895,,80.0,,,,899.4,,
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,1391,,17.0,,,,1222.1,,
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,1991,,48.0,,,,2410.8,,
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1674,,13.0,,,,776.6,,
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,1726,,24.0,,,,1390.5,,
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,1536,,16.0,,,,1041.7,,
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,6510,,2.0,,,,30.7,,
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,47934,,150.0,,,,312.9,,
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,5747,,0.0,,,,0.0,,
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,27574,,48.0,,,,174.1,,
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,4023,,4.0,,,,99.4,,
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,7129,,13.0,,,,182.4,,
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1093,,0.0,,,,0.0,,
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1611,,11.0,,,,682.8,,
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4428,,11.0,,,,248.4,,
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,,0.0,,,,0.0,,
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3839,,34.0,,,,885.6,,
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,511,,0.0,,,,0.0,,
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1817,,14.0,,,,770.5,,
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,1408,,4.0,,,,284.1,,
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14392,,21.0,,,,145.9,,
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,3589,,20.0,,,,557.3,,
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1704,,0.0,,,,0.0,,
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1463,,16.0,,,,1093.6,,
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3773,,68.0,,,,1802.3,,
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,4360,,30.0,,,,688.1,,
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,513911,,1495.0,,,,290.9,,
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2097,,25.0,,,,1192.2,,
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1256,,0.0,,,,0.0,,
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7453,,117.0,,,,1569.8,,
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1698,,0.0,,,,0.0,,
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2278,,8.0,,,,351.2,,
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,88366,,186.0,,,,210.5,,
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2147,,0.0,,,,0.0,,
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,712,,6.0,,,,842.7,,
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3917,,81.0,,,,2067.9,,
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2183,,29.0,,,,1328.4,,
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,1587,,0.0,,,,0.0,,
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,4022,,40.0,,,,994.5,,
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3808,,31.0,,,,814.1,,
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,621,,6.0,,,,966.2,,
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,1646,,1.0,,,,60.8,,
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3992,,29.0,,,,726.5,,
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,862,,3.0,,,,348.0,,
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2263,,9.0,,,,397.7,,
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,446,,1.0,,,,224.2,,
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,850,,3.0,,,,352.9,,
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,5727,,11.0,,,,192.1,,
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3483,,2.0,,,,57.4,,
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4683,,57.0,,,,1217.2,,
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1242,,16.0,,,,1288.2,,
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4123,,3.0,,,,72.8,,
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2342,,25.0,,,,1067.5,,
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2310,,2.0,,,,86.6,,
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,992,,0.0,,,,0.0,,
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,41573,,70.0,,,,168.4,,
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11262,,38.0,,,,337.4,,
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5517,,8.0,,,,145.0,,
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,5298,,2.0,,,,37.8,,
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,64093,,26.0,,,,40.6,,
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11562,,129.0,,,,1115.7,,
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1550,,18.0,,,,1161.3,,
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3843,,0.0,,,,0.0,,
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4229,,14.0,,,,331.0,,
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,2938,,18.0,,,,612.7,,
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2568,,14.0,,,,545.2,,
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,27043,,108.0,,,,399.4,,
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,12937,,9.0,,,,69.6,,
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,12035,,97.0,,,,806.0,,
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5288,,76.0,,,,1437.2,,
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,26261,,242.0,,,,921.5,,
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4458,,0.0,,,,0.0,,
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,1309,,0.0,,,,0.0,,
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,1738,,0.0,,,,0.0,,
1996,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1432,,3.0,,,,209.5,,
1996,65,129.0,Menard,8,Central,Mostly Rural,75.7,1399,,8.0,,,,571.8,,
1996,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1888,,0.0,,,,0.0,,
1996,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,2789,,18.0,,,,645.4,,
1996,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,3119,,29.0,,,,929.8,,
1996,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3687,,0.0,,,,0.0,,
1996,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1539,,2.0,,,,130.0,,
1996,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,5759,,63.0,,,,1093.9,,
1996,72,143.0,Peoria,10,Central,Mostly Urban,14.6,18505,,13.0,,,,70.3,,
1996,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2267,,10.0,,,,441.1,,
1996,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1711,,8.0,,,,467.6,,
1996,75,149.0,Pike,8,Central,Mostly Rural,72.3,1816,,1.0,,,,55.1,,
1996,76,151.0,Pope,1,Southern,Completely Rural,100.0,425,,4.0,,,,941.2,,
1996,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,890,,0.0,,,,0.0,,
1996,78,155.0,Putnam,10,Central,Completely Rural,100.0,623,,8.0,,,,1284.1,,
