year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,intake_screening,other,social_history,supplemental_social_history,intake_screening_rate,other_rate,social_history_rate,supplemental_social_history_rate
2001,1,1.0,Adams,8,Central,Mostly Urban,32.6,7013,211.0,0.0,74.0,48.0,3008.7,0.0,1055.2,684.4
2001,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1041,0.0,0.0,8.0,0.0,0.0,0.0,768.5,0.0
2001,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1508,1.0,0.0,5.0,0.0,66.3,0.0,331.6,0.0
2001,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,5180,108.0,0.0,44.0,4.0,2084.9,0.0,849.4,77.2
2001,5,9.0,Brown,8,Central,Mostly Urban,41.1,509,0.0,0.0,2.0,0.0,0.0,0.0,392.9,0.0
2001,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3597,85.0,1.0,8.0,3.0,2363.1,27.8,222.4,83.4
2001,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,486,0.0,0.0,5.0,0.0,0.0,0.0,1028.8,0.0
2001,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1721,0.0,0.0,10.0,4.0,0.0,0.0,581.1,232.4
2001,9,17.0,Cass,8,Central,Mostly Rural,52.1,1385,0.0,0.0,24.0,0.0,0.0,0.0,1732.9,0.0
2001,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14734,0.0,356.0,167.0,29.0,0.0,2416.2,1133.4,196.8
2001,11,21.0,Christian,4,Central,Mostly Urban,43.5,3572,0.0,0.0,12.0,0.0,0.0,0.0,335.9,0.0
2001,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1722,0.0,0.0,13.0,1.0,0.0,0.0,754.9,58.1
2001,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1363,21.0,0.0,9.0,2.0,1540.7,0.0,660.3,146.7
2001,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3697,2.0,1.0,9.0,0.0,54.1,27.0,243.4,0.0
2001,15,29.0,Coles,5,Central,Mostly Urban,24.3,4073,224.0,0.0,6.0,0.0,5499.6,0.0,147.3,0.0
2001,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,532506,0.0,0.0,2793.0,774.0,0.0,0.0,524.5,145.4
2001,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,1995,0.0,0.0,2.0,4.0,0.0,0.0,100.3,200.5
2001,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1276,4.0,0.0,0.0,0.0,313.5,0.0,0.0,0.0
2001,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,8127,0.0,432.0,128.0,20.0,0.0,5315.6,1575.0,246.1
2001,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1641,0.0,0.0,9.0,0.0,0.0,0.0,548.4,0.0
2001,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2218,0.0,0.0,1.0,0.0,0.0,0.0,45.1,0.0
2001,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,95466,654.0,330.0,409.0,25.0,685.1,345.7,428.4,26.2
2001,23,45.0,Edgar,5,Central,Mostly Rural,51.8,1969,8.0,0.0,4.0,0.0,406.3,0.0,203.1,0.0
2001,24,47.0,Edwards,2,Southern,Completely Rural,100.0,647,0.0,0.0,6.0,0.0,0.0,0.0,927.4,0.0
2001,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,4030,0.0,0.0,8.0,0.0,0.0,0.0,198.5,0.0
2001,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2151,0.0,0.0,9.0,0.0,0.0,0.0,418.4,0.0
2001,27,53.0,Ford,11,Central,Mostly Urban,41.8,1547,0.0,0.0,5.0,4.0,0.0,0.0,323.2,258.6
2001,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,3723,0.0,0.0,3.0,0.0,0.0,0.0,80.6,0.0
2001,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3384,125.0,44.0,5.0,0.0,3693.9,1300.2,147.8,0.0
2001,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,31,61.0,Greene,7,Central,Mostly Rural,70.8,1599,0.0,0.0,1.0,0.0,0.0,0.0,62.5,0.0
