year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,addiction,delinquency,mrai,trauncy,addiction_rate,delinquency_rate,mrai_rate,trauncy_rate
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,7066,0.0,27.0,0.0,1.0,0.0,382.1,0.0,14.2
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1108,0.0,8.0,0.0,0.0,0.0,722.0,0.0,0.0
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1597,0.0,6.0,0.0,0.0,0.0,375.7,0.0,0.0
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4215,0.0,68.0,0.0,0.0,0.0,1613.3,0.0,0.0
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,0.0,3.0,0.0,0.0,0.0,569.3,0.0,0.0
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3858,0.0,13.0,0.0,0.0,0.0,337.0,0.0,0.0
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1798,0.0,17.0,0.0,0.0,0.0,945.5,0.0,0.0
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,1398,0.0,31.0,0.0,0.0,0.0,2217.5,0.0,0.0
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14066,0.0,169.0,0.0,0.0,0.0,1201.5,0.0,0.0
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,3567,0.0,38.0,0.0,0.0,0.0,1065.3,0.0,0.0
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1670,0.0,12.0,0.0,0.0,0.0,718.6,0.0,0.0
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1469,0.0,8.0,0.0,0.0,0.0,544.6,0.0,0.0
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3762,0.0,14.0,0.0,0.0,0.0,372.1,0.0,0.0
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,4369,0.0,2.0,0.0,0.0,0.0,45.8,0.0,0.0
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,507326,158.0,6627.0,0.0,0.0,31.1,1306.3,0.0,0.0
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2080,0.0,20.0,0.0,1.0,0.0,961.5,0.0,48.1
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7209,0.0,61.0,0.0,0.0,0.0,846.2,0.0,0.0
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2263,0.0,11.0,0.0,0.0,0.0,486.1,0.0,0.0
1995,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,726,0.0,13.0,0.0,0.0,0.0,1790.6,0.0,0.0
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3832,0.0,55.0,0.0,0.0,0.0,1435.3,0.0,0.0
1995,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2167,0.0,18.0,0.0,1.0,0.0,830.6,0.0,46.1
1995,27,53.0,Ford,11,Central,Mostly Urban,41.8,1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,3999,0.0,37.0,0.0,0.0,0.0,925.2,0.0,0.0
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3831,0.0,12.0,0.0,0.0,0.0,313.2,0.0,0.0
1995,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,625,0.0,1.0,0.0,0.0,0.0,160.0,0.0,0.0
1995,31,61.0,Greene,7,Central,Mostly Rural,70.8,1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3906,0.0,17.0,0.0,0.0,0.0,435.2,0.0,0.0
1995,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,860,0.0,4.0,0.0,0.0,0.0,465.1,0.0,0.0
1995,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2269,0.0,8.0,0.0,0.0,0.0,352.6,0.0,0.0
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,458,0.0,2.0,0.0,0.0,0.0,436.7,0.0,0.0
1995,36,71.0,Henderson,9,Central,Mostly Rural,99.7,852,0.0,5.0,0.0,0.0,0.0,586.9,0.0,0.0
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,5723,0.0,23.0,0.0,8.0,0.0,401.9,0.0,139.8
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3429,0.0,102.0,0.0,1.0,0.0,2974.6,0.0,29.2
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4619,0.0,86.0,0.0,0.0,0.0,1861.9,0.0,0.0
1995,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1237,0.0,7.0,0.0,0.0,0.0,565.9,0.0,0.0
1995,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4078,0.0,5.0,0.0,0.0,0.0,122.6,0.0,0.0
1995,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2305,0.0,16.0,0.0,0.0,0.0,694.1,0.0,0.0
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,985,0.0,22.0,0.0,0.0,0.0,2233.5,0.0,0.0
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,40215,0.0,266.0,0.0,55.0,0.0,661.4,0.0,136.8
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11219,0.0,69.0,0.0,0.0,0.0,615.0,0.0,0.0
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5235,0.0,24.0,0.0,0.0,0.0,458.5,0.0,0.0
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,5326,0.0,57.0,0.0,0.0,0.0,1070.2,0.0,0.0
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,61596,0.0,85.0,0.0,0.0,0.0,138.0,0.0,0.0
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11419,0.0,102.0,0.0,0.0,0.0,893.2,0.0,0.0
1995,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,1555,0.0,13.0,0.0,0.0,0.0,836.0,0.0,0.0
1995,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,3810,0.0,2.0,0.0,0.0,0.0,52.5,0.0,0.0
1995,53,105.0,Livingston,11,Central,Mostly Urban,40.8,4172,0.0,89.0,4.0,1.0,0.0,2133.3,95.9,24.0
1995,54,107.0,Logan,11,Central,Mostly Urban,39.9,2918,0.0,40.0,0.0,0.0,0.0,1370.8,0.0,0.0
1995,55,109.0,McDonough,9,Central,Mostly Urban,29.5,2561,0.0,9.0,0.0,0.0,0.0,351.4,0.0,0.0
1995,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,25892,0.0,106.0,0.0,0.0,0.0,409.4,0.0,0.0
1995,57,113.0,McLean,11,Central,Mostly Urban,16.5,12730,0.0,91.0,1.0,0.0,0.0,714.8,7.9,0.0
1995,58,115.0,Macon,6,Central,Mostly Urban,15.3,12154,0.0,127.0,0.0,5.0,0.0,1044.9,0.0,41.1
1995,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,5230,0.0,19.0,0.0,0.0,0.0,363.3,0.0,0.0
1995,60,119.0,Madison,3,Southern,Mostly Urban,13.3,25996,0.0,255.0,0.0,0.0,0.0,980.9,0.0,0.0
1995,61,121.0,Marion,4,Southern,Mostly Urban,45.1,4418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,62,123.0,Marshall,10,Central,Completely Rural,100.0,1313,0.0,6.0,0.0,0.0,0.0,457.0,0.0,0.0
1995,63,125.0,Mason,8,Central,Mostly Rural,77.5,1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,64,127.0,Massac,1,Southern,Mostly Rural,50.5,1437,0.0,20.0,0.0,0.0,0.0,1391.8,0.0,0.0
1995,65,129.0,Menard,8,Central,Mostly Rural,75.7,1371,0.0,14.0,0.0,0.0,0.0,1021.2,0.0,0.0
1995,66,131.0,Mercer,14,Central,Mostly Rural,77.8,1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,2687,0.0,20.0,0.0,0.0,0.0,744.3,0.0,0.0
1995,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,3103,0.0,29.0,0.0,0.0,0.0,934.6,0.0,0.0
1995,69,137.0,Morgan,7,Central,Mostly Urban,36.2,3637,0.0,21.0,0.0,0.0,0.0,577.4,0.0,0.0
1995,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,1526,0.0,13.0,0.0,0.0,0.0,851.9,0.0,0.0
1995,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,5605,1.0,85.0,1.0,1.0,17.8,1516.5,17.8,17.8
1995,72,143.0,Peoria,10,Central,Mostly Urban,14.6,18559,0.0,197.0,0.0,11.0,0.0,1061.5,0.0,59.3
1995,73,145.0,Perry,20,Southern,Mostly Urban,43.6,2257,0.0,9.0,0.0,0.0,0.0,398.8,0.0,0.0
1995,74,147.0,Piatt,6,Central,Mostly Rural,67.7,1695,0.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0
1995,75,149.0,Pike,8,Central,Mostly Rural,72.3,1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,76,151.0,Pope,1,Southern,Completely Rural,100.0,431,0.0,2.0,0.0,0.0,0.0,464.0,0.0,0.0
1995,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,891,0.0,17.0,0.0,0.0,0.0,1908.0,0.0,0.0
1995,78,155.0,Putnam,10,Central,Completely Rural,100.0,618,0.0,33.0,0.0,0.0,0.0,5339.8,0.0,0.0
1995,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3385,0.0,35.0,0.0,0.0,0.0,1034.0,0.0,0.0
1995,80,159.0,Richland,2,Southern,Mostly Urban,43.5,1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,14911,0.0,84.0,0.0,0.0,0.0,563.3,0.0,0.0
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,29476,0.0,245.0,0.0,34.0,0.0,831.2,0.0,115.3
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,2749,0.0,6.0,0.0,0.0,0.0,218.3,0.0,0.0
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,18981,0.0,126.0,0.0,0.0,0.0,663.8,0.0,0.0
1995,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,767,0.0,12.0,0.0,0.0,0.0,1564.5,0.0,0.0
1995,86,171.0,Scott,7,Central,Completely Rural,100.0,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,87,173.0,Shelby,4,Central,Mostly Rural,77.7,2463,0.0,11.0,0.0,0.0,0.0,446.6,0.0,0.0
1995,88,175.0,Stark,10,Central,Completely Rural,100.0,685,0.0,14.0,0.0,0.0,0.0,2043.8,0.0,0.0
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5097,0.0,74.0,0.0,0.0,0.0,1451.8,0.0,0.0
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,13322,0.0,82.0,0.0,0.0,0.0,615.5,0.0,0.0
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,1796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,8895,0.0,163.0,0.0,0.0,0.0,1832.5,0.0,0.0
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,1391,0.0,31.0,0.0,0.0,0.0,2228.6,0.0,0.0
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,1991,0.0,48.0,0.0,1.0,0.0,2410.8,0.0,50.2
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1674,0.0,7.0,0.0,0.0,0.0,418.2,0.0,0.0
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,1726,0.0,20.0,0.0,0.0,0.0,1158.7,0.0,0.0
1995,97,193.0,White,2,Southern,Mostly Rural,62.0,1536,0.0,22.0,0.0,0.0,0.0,1432.3,0.0,0.0
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,6510,0.0,100.0,1.0,0.0,0.0,1536.1,15.4,0.0
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,47934,0.0,316.0,0.0,0.0,0.0,659.2,0.0,0.0
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,5747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,27574,0.0,247.0,0.0,0.0,0.0,895.8,0.0,0.0
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,4023,0.0,6.0,0.0,0.0,0.0,149.1,0.0,0.0
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,7129,0.0,68.0,0.0,1.0,0.0,953.9,0.0,14.0
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1093,0.0,9.0,0.0,0.0,0.0,823.4,0.0,0.0
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1611,0.0,11.0,0.0,0.0,0.0,682.8,0.0,0.0
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4428,0.0,117.0,0.0,0.0,0.0,2642.3,0.0,0.0
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,0.0,10.0,0.0,0.0,0.0,1897.5,0.0,0.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3839,0.0,27.0,0.0,0.0,0.0,703.3,0.0,0.0
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1817,0.0,12.0,1.0,0.0,0.0,660.4,55.0,0.0
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,1408,0.0,19.0,1.0,1.0,0.0,1349.4,71.0,71.0
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14392,0.0,186.0,0.0,0.0,0.0,1292.4,0.0,0.0
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,3589,0.0,29.0,0.0,0.0,0.0,808.0,0.0,0.0
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1463,0.0,12.0,0.0,0.0,0.0,820.2,0.0,0.0
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3773,0.0,28.0,0.0,0.0,0.0,742.1,0.0,0.0
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,4360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,513911,22.0,7402.0,0.0,0.0,4.3,1440.3,0.0,0.0
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2097,0.0,24.0,0.0,0.0,0.0,1144.5,0.0,0.0
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7453,0.0,54.0,0.0,0.0,0.0,724.5,0.0,0.0
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1698,0.0,38.0,0.0,0.0,0.0,2237.9,0.0,0.0
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2278,0.0,21.0,0.0,0.0,0.0,921.9,0.0,0.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,88366,0.0,630.0,2.0,0.0,0.0,712.9,2.3,0.0
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,712,0.0,15.0,1.0,0.0,0.0,2106.7,140.4,0.0
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3917,0.0,91.0,0.0,0.0,0.0,2323.2,0.0,0.0
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2183,0.0,15.0,0.0,1.0,0.0,687.1,0.0,45.8
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,1587,0.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,4022,0.0,25.0,0.0,0.0,0.0,621.6,0.0,0.0
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3808,0.0,8.0,0.0,0.0,0.0,210.1,0.0,0.0
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,621,0.0,8.0,0.0,0.0,0.0,1288.2,0.0,0.0
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3992,0.0,19.0,0.0,0.0,0.0,476.0,0.0,0.0
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,862,0.0,3.0,0.0,2.0,0.0,348.0,0.0,232.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2263,0.0,6.0,0.0,0.0,0.0,265.1,0.0,0.0
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,446,0.0,4.0,0.0,0.0,0.0,896.9,0.0,0.0
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,850,0.0,6.0,0.0,0.0,0.0,705.9,0.0,0.0
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,5727,0.0,43.0,1.0,11.0,0.0,750.8,17.5,192.1
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3483,0.0,104.0,2.0,0.0,0.0,2985.9,57.4,0.0
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4683,0.0,100.0,0.0,0.0,0.0,2135.4,0.0,0.0
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1242,0.0,4.0,0.0,0.0,0.0,322.1,0.0,0.0
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4123,0.0,2.0,0.0,0.0,0.0,48.5,0.0,0.0
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2342,0.0,12.0,0.0,0.0,0.0,512.4,0.0,0.0
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,992,0.0,8.0,0.0,0.0,0.0,806.5,0.0,0.0
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,41573,0.0,239.0,0.0,0.0,0.0,574.9,0.0,0.0
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11262,0.0,115.0,1.0,0.0,0.0,1021.1,8.9,0.0
