year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,average_daily_population,booking,average_daily_population_rate,booking_rate
1981,1,1.0,Adams,8,Central,Mostly Urban,32.6,71325,2083.0,52.0,2920.4,72.9
1981,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12323,392.0,5.0,3181.0,40.6
1981,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16489,321.0,3.0,1946.8,18.2
1981,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29179,971.0,12.0,3327.7,41.1
1981,6,11.0,Bureau,13,Central,Mostly Rural,57.4,39501,1041.0,16.0,2635.4,40.5
1981,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5928,30.0,1.0,506.1,16.9
1981,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18901,136.0,8.0,719.5,42.3
1981,9,17.0,Cass,8,Central,Mostly Rural,52.1,15100,265.0,4.0,1755.0,26.5
1981,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170530,2683.0,72.0,1573.3,42.2
1981,11,21.0,Christian,4,Central,Mostly Urban,43.5,36756,416.0,8.0,1131.8,21.8
1981,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17167,249.0,6.0,1450.5,35.0
1981,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15712,160.0,5.0,1018.3,31.8
1981,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33666,517.0,12.0,1535.7,35.6
1981,15,29.0,Coles,5,Central,Mostly Urban,24.3,53221,1402.0,23.0,2634.3,43.2
1981,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5220295,,3861.0,,74.0
1981,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21318,182.0,2.0,853.7,9.4
1981,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11107,147.0,2.0,1323.5,18.0
1981,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74853,1092.0,21.0,1458.9,28.1
1981,20,39.0,De Witt,6,Central,Mostly Urban,48.8,18168,460.0,5.0,2531.9,27.5
1981,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19950,336.0,11.0,1684.2,55.1
1981,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,669770,6998.0,134.0,1044.8,20.0
1981,23,45.0,Edgar,5,Central,Mostly Rural,51.8,22034,321.0,4.0,1456.8,18.2
1981,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31616,1182.0,11.0,3738.6,34.8
1981,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22444,736.0,8.0,3279.3,35.6
1981,27,53.0,Ford,11,Central,Mostly Urban,41.8,15506,174.0,2.0,1122.1,12.9
1981,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,44084,505.0,10.0,1145.5,22.7
1981,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43863,279.0,16.0,636.1,36.5
1981,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7850,269.0,3.0,3426.8,38.2
1981,31,61.0,Greene,7,Central,Mostly Rural,70.8,16846,381.0,5.0,2261.7,29.7
1981,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30948,509.0,5.0,1644.7,16.2
1981,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9351,100.0,2.0,1069.4,21.4
1981,34,67.0,Hancock,9,Central,Mostly Rural,71.0,24200,384.0,7.0,1586.8,28.9
1981,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5506,120.0,2.0,2179.4,36.3
1981,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9144,308.0,6.0,3368.3,65.6
1981,37,73.0,Henry,14,Central,Mostly Rural,50.3,57618,848.0,27.0,1471.8,46.9
1981,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33481,907.0,17.0,2709.0,50.8
1981,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62529,1150.0,19.0,1839.1,30.4
1981,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11452,110.0,2.0,960.5,17.5
1981,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,37887,540.0,12.0,1425.3,31.7
1981,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20802,252.0,4.0,1211.4,19.2
1981,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23786,239.0,9.0,1004.8,37.8
1981,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,280143,3217.0,91.0,1148.3,32.5
1981,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102544,2245.0,62.0,2189.3,60.5
1981,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37847,135.0,6.0,356.7,15.9
1981,48,95.0,Knox,9,Central,Mostly Urban,24.3,60973,2000.0,39.0,3280.1,64.0
1981,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,449826,6943.0,144.0,1543.5,32.0
1981,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110949,1436.0,42.0,1294.3,37.9
1981,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18190,281.0,3.0,1544.8,16.5
1981,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36633,1340.0,17.0,3657.9,46.4
1981,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41417,700.0,23.0,1690.1,55.5
1981,54,107.0,Logan,11,Central,Mostly Urban,39.9,32103,716.0,13.0,2230.3,40.5
1981,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38592,394.0,9.0,1020.9,23.3
1981,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,148814,3030.0,20.0,2036.1,13.4
1981,57,113.0,McLean,11,Central,Mostly Urban,16.5,119963,2002.0,90.0,1668.8,75.0
1981,58,115.0,Macon,6,Central,Mostly Urban,15.3,130295,3707.0,92.0,2845.1,70.6
1981,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49902,433.0,14.0,867.7,28.1
1981,60,119.0,Madison,3,Southern,Mostly Urban,13.3,246702,2606.0,93.0,1056.3,37.7
1981,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44534,593.0,21.0,1331.6,47.2
1981,62,123.0,Marshall,10,Central,Completely Rural,100.0,14524,146.0,5.0,1005.2,34.4
1981,63,125.0,Mason,8,Central,Mostly Rural,77.5,19285,218.0,4.0,1130.4,20.7
1981,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15196,594.0,12.0,3908.9,79.0
1981,65,129.0,Menard,8,Central,Mostly Rural,75.7,11769,45.0,4.0,382.4,34.0
1981,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19586,350.0,7.0,1787.0,35.7
1981,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20467,238.0,5.0,1162.8,24.4
1981,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32726,475.0,12.0,1451.4,36.7
1981,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37625,523.0,10.0,1390.0,26.6
1981,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14649,217.0,7.0,1481.3,47.8
1981,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46679,1437.0,32.0,3078.5,68.6
1981,72,143.0,Peoria,10,Central,Mostly Urban,14.6,200006,7436.0,177.0,3717.9,88.5
1981,73,145.0,Perry,20,Southern,Mostly Urban,43.6,22080,200.0,6.0,905.8,27.2
1981,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16701,326.0,6.0,1952.0,35.9
1981,75,149.0,Pike,8,Central,Mostly Rural,72.3,19121,437.0,7.0,2285.4,36.6
1981,76,151.0,Pope,1,Southern,Completely Rural,100.0,4480,54.0,1.0,1205.4,22.3
1981,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8860,297.0,6.0,3352.1,67.7
1981,78,155.0,Putnam,10,Central,Completely Rural,100.0,6193,86.0,2.0,1388.7,32.3
1981,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35761,658.0,7.0,1840.0,19.6
1981,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18260,755.0,7.0,4134.7,38.3
1981,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,167781,2792.0,75.0,1664.1,44.7
1981,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,267050,5673.0,228.0,2124.3,85.4
1981,83,165.0,Saline,1,Southern,Mostly Urban,43.7,29020,817.0,12.0,2815.3,41.4
1981,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175720,3768.0,75.0,2144.3,42.7
1981,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8356,103.0,2.0,1232.6,23.9
1981,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23973,205.0,6.0,855.1,25.0
1981,88,175.0,Stark,10,Central,Completely Rural,100.0,7371,28.0,2.0,379.9,27.1
1981,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,50466,914.0,29.0,1811.1,57.5
1981,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,131662,1588.0,42.0,1206.1,31.9
1981,91,181.0,Union,1,Southern,Mostly Rural,65.9,18196,312.0,6.0,1714.7,33.0
1981,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,94596,700.0,60.0,740.0,63.4
1981,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,14007,483.0,10.0,3448.3,71.4
1981,94,187.0,Warren,9,Central,Mostly Urban,45.5,22155,207.0,12.0,934.3,54.2
1981,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15646,118.0,2.0,754.2,12.8
1981,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18519,201.0,6.0,1085.4,32.4
1981,97,193.0,White,2,Southern,Mostly Rural,62.0,18333,631.0,12.0,3441.9,65.5
1981,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,65666,700.0,40.0,1066.0,60.9
1981,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,326457,2964.0,76.0,907.9,23.3
1981,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,57980,946.0,28.0,1631.6,48.3
1981,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,251412,10029.0,199.0,3989.1,79.2
1982,1,1.0,Adams,8,Central,Mostly Urban,32.6,71174,2198.0,58.0,3088.2,81.5
1982,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12056,483.0,8.0,4006.3,66.4
1982,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16132,207.0,2.0,1283.2,12.4
1982,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29213,1058.0,13.0,3621.7,44.5
1982,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38790,995.0,17.0,2565.1,43.8
1982,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5739,48.0,2.0,836.4,34.8
1982,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18548,156.0,16.0,841.1,86.3
1982,9,17.0,Cass,8,Central,Mostly Rural,52.1,14785,181.0,3.0,1224.2,20.3
1982,10,19.0,Champaign,6,Central,Mostly Urban,12.7,171586,2931.0,86.0,1708.2,50.1
1982,11,21.0,Christian,4,Central,Mostly Urban,43.5,36279,545.0,8.0,1502.2,22.1
1982,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17071,240.0,4.0,1405.9,23.4
1982,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15706,146.0,4.0,929.6,25.5
1982,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33597,636.0,10.0,1893.0,29.8
1982,15,29.0,Coles,5,Central,Mostly Urban,24.3,52857,1232.0,24.0,2330.8,45.4
1982,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5222484,,4182.0,,80.1
1982,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21292,184.0,2.0,864.2,9.4
1982,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10966,93.0,3.0,848.1,27.4
1982,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74399,1126.0,22.0,1513.5,29.6
1982,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17861,442.0,6.0,2474.7,33.6
1982,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,181.0,7.0,914.5,35.4
1982,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,682289,7520.0,134.0,1102.2,19.6
1982,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21729,427.0,5.0,1965.1,23.0
1982,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31167,1123.0,7.0,3603.2,22.5
1982,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22282,731.0,10.0,3280.7,44.9
1982,27,53.0,Ford,11,Central,Mostly Urban,41.8,15311,138.0,3.0,901.3,19.6
1982,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43561,192.0,6.0,440.8,13.8
1982,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43107,281.0,15.0,651.9,34.8
1982,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7719,277.0,3.0,3588.5,38.9
1982,31,61.0,Greene,7,Central,Mostly Rural,70.8,16519,400.0,8.0,2421.5,48.4
1982,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30677,551.0,6.0,1796.1,19.6
1982,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9271,153.0,3.0,1650.3,32.4
1982,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23781,399.0,5.0,1677.8,21.0
1982,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5388,120.0,2.0,2227.2,37.1
1982,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8976,167.0,5.0,1860.5,55.7
1982,37,73.0,Henry,14,Central,Mostly Rural,50.3,56769,785.0,29.0,1382.8,51.1
1982,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33081,712.0,13.0,2152.3,39.3
1982,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62399,1159.0,19.0,1857.4,30.4
1982,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,108.0,3.0,939.9,26.1
1982,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38004,593.0,18.0,1560.4,47.4
1982,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20611,225.0,3.0,1091.7,14.6
1982,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23469,168.0,5.0,715.8,21.3
1982,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,278859,4142.0,85.0,1485.3,30.5
1982,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,101218,2219.0,69.0,2192.3,68.2
1982,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37531,111.0,6.0,295.8,16.0
1982,48,95.0,Knox,9,Central,Mostly Urban,24.3,59943,1870.0,37.0,3119.6,61.7
1982,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,451470,7337.0,115.0,1625.1,25.5
1982,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,109687,1517.0,35.0,1383.0,31.9
1982,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18232,235.0,5.0,1288.9,27.4
1982,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35724,1111.0,20.0,3110.0,56.0
1982,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41003,700.0,20.0,1707.2,48.8
1982,54,107.0,Logan,11,Central,Mostly Urban,39.9,31419,726.0,16.0,2310.7,50.9
1982,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38348,382.0,10.0,996.1,26.1
1982,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,149834,3466.0,19.0,2313.2,12.7
1982,57,113.0,McLean,11,Central,Mostly Urban,16.5,120379,1979.0,94.0,1644.0,78.1
1982,58,115.0,Macon,6,Central,Mostly Urban,15.3,128485,3505.0,85.0,2727.9,66.2
1982,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49412,518.0,14.0,1048.3,28.3
