year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,1,1.0,Adams,8,Central,Mostly Urban,32.6,7745,,5.0,,5.0,,,4.0,,1.0,1.0,,4.0,1.0,4.0,1.0,,64.6,,64.6,,,51.6,,12.9,12.9,,51.6,12.9,51.6,12.9
1993,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4304,3.0,5.0,,5.0,,,3.0,1.0,1.0,,,5.0,,5.0,,69.7,116.2,,116.2,,,69.7,23.2,23.2,,,116.2,,116.2,
1993,6,11.0,Bureau,13,Central,Mostly Rural,57.4,4369,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,1.0,22.9,45.8,,45.8,,,45.8,,,,,45.8,,45.8,22.9
1993,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1998,,3.0,,3.0,,,1.0,1.0,,1.0,,2.0,,3.0,,,150.2,,150.2,,,50.1,50.1,,50.1,,100.1,,150.2,
1993,9,17.0,Cass,8,Central,Mostly Rural,52.1,1588,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,63.0,63.0,,63.0,,,63.0,,,,,63.0,,63.0,
1993,10,19.0,Champaign,6,Central,Mostly Urban,12.7,15655,,38.0,1.0,37.0,6.0,8.0,20.0,3.0,1.0,28.0,,10.0,6.0,32.0,5.0,,242.7,6.4,236.3,38.3,51.1,127.8,19.2,6.4,178.9,,63.9,38.3,204.4,31.9
1993,11,21.0,Christian,4,Central,Mostly Urban,43.5,3978,1.0,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,25.1,75.4,,75.4,,,75.4,,,,,75.4,,75.4,
1993,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1829,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,54.7,,54.7,,,54.7,,,,,54.7,,54.7,
1993,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1658,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,60.3,60.3,,60.3,,,60.3,,,,,60.3,60.3,,
1993,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,4205,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,23.8,23.8,,23.8,,,23.8,,,,,23.8,,23.8,
1993,15,29.0,Coles,5,Central,Mostly Urban,24.3,4887,8.0,10.0,1.0,9.0,,1.0,6.0,3.0,,,,10.0,1.0,9.0,,163.7,204.6,20.5,184.2,,20.5,122.8,61.4,,,,204.6,20.5,184.2,
1993,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,564430,15.0,456.0,121.0,335.0,47.0,202.0,121.0,17.0,66.0,332.0,75.0,47.0,16.0,440.0,53.0,2.7,80.8,21.4,59.4,8.3,35.8,21.4,3.0,11.7,58.8,13.3,8.3,2.8,78.0,9.4
1993,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2300,,3.0,,3.0,,,3.0,,,1.0,,2.0,,3.0,,,130.4,,130.4,,,130.4,,,43.5,,87.0,,130.4,
