year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,admin,dui,felony,misdemeanor,total,traffic,admin_rate,dui_rate,felony_rate,misdemeanor_rate,total_rate,traffic_rate
1986,1,1.0,Adams,8,Central,Mostly Urban,32.6,,,,154.0,,287.0,,,,,,,
1986,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,,97.0,,166.0,,,,,,,
1986,3,5.0,Bond,3,Southern,Mostly Rural,60.7,,,,35.0,,74.0,,,,,,,
1986,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,,,71.0,,142.0,,,,,,,
1986,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,,,43.0,,74.0,,,,,,,
1986,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,,36.0,,54.0,,,,,,,
1986,9,17.0,Cass,8,Central,Mostly Rural,52.1,,,,31.0,,146.0,,,,,,,
1986,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,,327.0,,511.0,,,,,,,
1986,11,21.0,Christian,4,Central,Mostly Urban,43.5,,,,114.0,,246.0,,,,,,,
1986,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,,,54.0,,63.0,,,,,,,
1986,13,25.0,Clay,4,Southern,Mostly Rural,64.7,,,,60.0,,123.0,,,,,,,
1986,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,,,,37.0,,159.0,,,,,,,
1986,15,29.0,Coles,5,Central,Mostly Urban,24.3,,,,84.0,,172.0,,,,,,,
1986,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,,,15537.0,,28888.0,,,,,,,
1986,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,,,,37.0,,115.0,,,,,,,
1986,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,,,96.0,,187.0,,,,,,,
1986,20,39.0,De Witt,6,Central,Mostly Urban,48.8,,,,25.0,,71.0,,,,,,,
1986,21,41.0,Douglas,6,Central,Mostly Rural,61.6,,,,33.0,,135.0,,,,,,,
1986,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,,,1424.0,,2870.0,,,,,,,
1986,23,45.0,Edgar,5,Central,Mostly Rural,51.8,,,,44.0,,74.0,,,,,,,
1986,24,47.0,Edwards,2,Southern,Completely Rural,100.0,,,,7.0,,60.0,,,,,,,
1986,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,,,,52.0,,149.0,,,,,,,
1986,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,,,,49.0,,65.0,,,,,,,
1986,27,53.0,Ford,11,Central,Mostly Urban,41.8,,,,45.0,,131.0,,,,,,,
1986,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,,,118.0,,308.0,,,,,,,
1986,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,,,115.0,,189.0,,,,,,,
1986,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,,,,27.0,,44.0,,,,,,,
1986,31,61.0,Greene,7,Central,Mostly Rural,70.8,,,,21.0,,95.0,,,,,,,
1986,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,,,31.0,,50.0,,,,,,,
1986,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,,,,16.0,,39.0,,,,,,,
1986,34,67.0,Hancock,9,Central,Mostly Rural,71.0,,,,39.0,,50.0,,,,,,,
1986,35,69.0,Hardin,2,Southern,Completely Rural,100.0,,,,9.0,,26.0,,,,,,,
1986,36,71.0,Henderson,9,Central,Mostly Rural,99.7,,,,9.0,,13.0,,,,,,,
1986,37,73.0,Henry,14,Central,Mostly Rural,50.3,,,,92.0,,179.0,,,,,,,
1986,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,,,,66.0,,110.0,,,,,,,
1986,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,,,,219.0,,742.0,,,,,,,
1986,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,,,,19.0,,74.0,,,,,,,
1986,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,,,,135.0,,227.0,,,,,,,
1986,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,,,,49.0,,82.0,,,,,,,
1986,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,,,15.0,,109.0,,,,,,,
1986,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,,,15.0,,31.0,,,,,,,
1986,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,,,502.0,,792.0,,,,,,,
1986,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,,,196.0,,207.0,,,,,,,
1986,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,,,43.0,,104.0,,,,,,,
1986,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,,143.0,,216.0,,,,,,,
1986,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,,,921.0,,1375.0,,,,,,,
1986,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,,,159.0,,344.0,,,,,,,
