year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,admin,cus,informal,other,probation,supervision,admin_rate,cus_rate,informal_rate,other_rate,probation_rate,supervision_rate
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,7066,0.0,26.0,24.0,15.0,60.0,0.0,0.0,368.0,339.7,212.3,849.1,0.0
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1108,0.0,0.0,6.0,7.0,19.0,2.0,0.0,0.0,541.5,631.8,1714.8,180.5
1995,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1597,0.0,20.0,9.0,5.0,8.0,0.0,0.0,1252.3,563.6,313.1,500.9,0.0
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4215,0.0,4.0,1.0,1.0,81.0,0.0,0.0,94.9,23.7,23.7,1921.7,0.0
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,189.8,569.3,759.0
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3858,0.0,22.0,0.0,18.0,12.0,0.0,0.0,570.2,0.0,466.6,311.0,0.0
1995,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,500,0.0,4.0,0.0,4.0,5.0,0.0,0.0,800.0,0.0,800.0,1000.0,0.0
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1798,0.0,15.0,0.0,1.0,15.0,0.0,0.0,834.3,0.0,55.6,834.3,0.0
1995,9,17.0,Cass,8,Central,Mostly Rural,52.1,1398,0.0,0.0,0.0,2.0,25.0,13.0,0.0,0.0,0.0,143.1,1788.3,929.9
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14066,11.0,18.0,70.0,19.0,173.0,0.0,78.2,128.0,497.7,135.1,1229.9,0.0
1995,11,21.0,Christian,4,Central,Mostly Urban,43.5,3567,0.0,66.0,0.0,3.0,67.0,0.0,0.0,1850.3,0.0,84.1,1878.3,0.0
1995,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1670,0.0,3.0,0.0,5.0,20.0,0.0,0.0,179.6,0.0,299.4,1197.6,0.0
1995,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1469,0.0,23.0,0.0,11.0,17.0,0.0,0.0,1565.7,0.0,748.8,1157.2,0.0
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3762,0.0,18.0,0.0,79.0,25.0,0.0,0.0,478.5,0.0,2099.9,664.5,0.0
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,4369,0.0,46.0,0.0,24.0,64.0,1.0,0.0,1052.9,0.0,549.3,1464.9,22.9
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,507326,1617.0,65.0,1.0,409.0,4856.0,994.0,318.7,12.8,0.2,80.6,957.2,195.9
1995,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2080,0.0,2.0,0.0,0.0,22.0,0.0,0.0,96.2,0.0,0.0,1057.7,0.0
1995,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1232,0.0,1.0,0.0,2.0,9.0,0.0,0.0,81.2,0.0,162.3,730.5,0.0
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7209,0.0,54.0,0.0,40.0,79.0,0.0,0.0,749.1,0.0,554.9,1095.9,0.0
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1702,0.0,0.0,8.0,10.0,28.0,13.0,0.0,0.0,470.0,587.5,1645.1,763.8
