year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,count,count_rate
2001,1,1.0,Adams,8,Central,Mostly Urban,32.6,83718,235.0,280.7
2001,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11706,54.0,461.3
2001,3,5.0,Bond,3,Southern,Mostly Rural,60.7,21162,106.0,500.9
2001,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,55241,152.0,275.2
2001,5,9.0,Brown,8,Central,Mostly Urban,41.1,8047,25.0,310.7
2001,6,11.0,Bureau,13,Central,Mostly Rural,57.4,43230,35.0,81.0
2001,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,6098,21.0,344.4
2001,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,20046,52.0,259.4
2001,9,17.0,Cass,8,Central,Mostly Rural,52.1,16903,49.0,289.9
2001,10,19.0,Champaign,6,Central,Mostly Urban,12.7,216820,559.0,257.8
2001,11,21.0,Christian,4,Central,Mostly Urban,43.5,43131,349.0,809.2
2001,12,23.0,Clark,5,Southern,Mostly Rural,59.5,20769,66.0,317.8
2001,13,25.0,Clay,4,Southern,Mostly Rural,64.7,17364,135.0,777.5
2001,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,43897,83.0,189.1
2001,15,29.0,Coles,5,Central,Mostly Urban,24.3,61849,202.0,326.6
2001,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,6693430,25250.0,377.2
2001,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,24623,144.0,584.8
2001,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,13869,64.0,461.5
2001,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,110345,84.0,76.1
2001,20,39.0,De Witt,6,Central,Mostly Urban,48.8,20582,92.0,447.0
2001,21,41.0,Douglas,6,Central,Mostly Rural,61.6,24928,53.0,212.6
2001,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,1143766,1205.0,105.4
2001,23,45.0,Edgar,5,Central,Mostly Rural,51.8,23884,134.0,561.0
2001,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8316,23.0,276.6
2001,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,43475,213.0,489.9
2001,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,26299,148.0,562.8
2001,27,53.0,Ford,11,Central,Mostly Urban,41.8,17536,21.0,119.8
2001,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,47159,298.0,631.9
2001,29,57.0,Fulton,9,Central,Mostly Rural,60.0,45592,172.0,377.3
2001,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7593,32.0,421.4
2001,31,61.0,Greene,7,Central,Mostly Rural,70.8,18083,116.0,641.5
2001,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,47698,183.0,383.7
2001,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,10369,47.0,453.3
2001,34,67.0,Hancock,9,Central,Mostly Rural,71.0,24390,60.0,246.0
2001,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5655,29.0,512.8
2001,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9915,24.0,242.1
2001,37,73.0,Henry,14,Central,Mostly Rural,50.3,62313,162.0,260.0
2001,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,38205,92.0,240.8
2001,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,69677,123.0,176.5
2001,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,12396,65.0,524.4
2001,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,48984,166.0,338.9
2001,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,26757,126.0,470.9
2001,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27167,70.0,257.7
2001,44,87.0,Johnson,1,Southern,Completely Rural,100.0,15207,27.0,177.5
2001,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,545757,993.0,181.9
2001,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,131417,424.0,322.6
2001,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,74366,34.0,45.7
