year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total_in_poverty,total_in_poverty_rate
1989,1,1.0,Adams,8,Central,Mostly Urban,32.6,66090,7687.0,11631.1
1989,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,10626,3084.0,29023.2
1989,3,5.0,Bond,3,Southern,Mostly Rural,60.7,14991,1688.0,11260.1
1989,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,30806,1870.0,6070.2
1989,5,9.0,Brown,8,Central,Mostly Urban,41.1,5836,701.0,12011.7
1989,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35688,2946.0,8254.9
1989,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5322,599.0,11255.2
1989,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16805,1619.0,9634.0
1989,9,17.0,Cass,8,Central,Mostly Rural,52.1,13437,1361.0,10128.7
1989,10,19.0,Champaign,6,Central,Mostly Urban,12.7,173025,16911.0,9773.7
1989,11,21.0,Christian,4,Central,Mostly Urban,43.5,34418,3433.0,9974.4
1989,12,23.0,Clark,5,Southern,Mostly Rural,59.5,15921,1759.0,11048.3
1989,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14460,1897.0,13118.9
1989,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33944,2437.0,7179.5
1989,15,29.0,Coles,5,Central,Mostly Urban,24.3,51644,5644.0,10928.7
1989,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5105044,808122.0,15829.9
1989,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,19464,1886.0,9689.7
1989,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10670,1137.0,10656.0
1989,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,77932,4754.0,6100.2
1989,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16516,1397.0,8458.5
1989,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19464,1674.0,8600.5
1989,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,781689,18288.0,2339.5
1989,23,45.0,Edgar,5,Central,Mostly Rural,51.8,19595,2500.0,12758.4
1989,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7440,750.0,10080.6
1989,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31704,2450.0,7727.7
1989,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,20893,2844.0,13612.2
1989,27,53.0,Ford,11,Central,Mostly Urban,41.8,14275,1099.0,7698.8
1989,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,40319,6380.0,15823.8
1989,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38080,4957.0,13017.3
1989,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6909,1181.0,17093.6
1989,31,61.0,Greene,7,Central,Mostly Rural,70.8,15317,2447.0,15975.7
1989,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,32337,1425.0,4406.7
1989,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8499,1299.0,15284.2
1989,34,67.0,Hancock,9,Central,Mostly Rural,71.0,21373,2192.0,10255.9
1989,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5189,1050.0,20235.1
