year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,minor_in_poverty,minor_in_poverty_rate
1989,1,1.0,Adams,8,Central,Mostly Urban,32.6,,2766.0,
1989,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,1805.0,
1989,3,5.0,Bond,3,Southern,Mostly Rural,60.7,,543.0,
1989,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,671.0,
1989,5,9.0,Brown,8,Central,Mostly Urban,41.1,,185.0,
1989,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,1011.0,
1989,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,,180.0,
1989,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,570.0,
1989,9,17.0,Cass,8,Central,Mostly Rural,52.1,,465.0,
1989,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,4645.0,
1989,11,21.0,Christian,4,Central,Mostly Urban,43.5,,1228.0,
1989,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,561.0,
1989,13,25.0,Clay,4,Southern,Mostly Rural,64.7,,672.0,
1989,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,,866.0,
1989,15,29.0,Coles,5,Central,Mostly Urban,24.3,,1561.0,
1989,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,341777.0,
1989,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,,629.0,
1989,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,,464.0,
1989,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,1040.0,
1989,20,39.0,De Witt,6,Central,Mostly Urban,48.8,,490.0,
1989,21,41.0,Douglas,6,Central,Mostly Rural,61.6,,612.0,
1989,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,4521.0,
1989,23,45.0,Edgar,5,Central,Mostly Rural,51.8,,920.0,
1989,24,47.0,Edwards,2,Southern,Completely Rural,100.0,,252.0,
1989,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,,927.0,
1989,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,,1034.0,
1989,27,53.0,Ford,11,Central,Mostly Urban,41.8,,412.0,
1989,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,2492.0,
1989,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,1819.0,
1989,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,,402.0,
1989,31,61.0,Greene,7,Central,Mostly Rural,70.8,,947.0,
1989,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,460.0,
1989,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,,430.0,
1989,34,67.0,Hancock,9,Central,Mostly Rural,71.0,,696.0,
1989,35,69.0,Hardin,2,Southern,Completely Rural,100.0,,407.0,
1989,36,71.0,Henderson,9,Central,Mostly Rural,99.7,,336.0,
1989,37,73.0,Henry,14,Central,Mostly Rural,50.3,,1646.0,
1989,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,,960.0,
1989,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,,2870.0,
1989,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,,405.0,
1989,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,,2014.0,
1989,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,,752.0,
1989,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,427.0,
1989,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,467.0,
1989,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,10832.0,
1989,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,5715.0,
1989,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,382.0,
1989,48,95.0,Knox,9,Central,Mostly Urban,24.3,,2182.0,
1989,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,10087.0,
1989,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,3096.0,
1989,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,,803.0,
1989,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,,874.0,
1989,53,105.0,Livingston,11,Central,Mostly Urban,40.8,,1022.0,
1989,54,107.0,Logan,11,Central,Mostly Urban,39.9,,872.0,
1989,55,109.0,McDonough,9,Central,Mostly Urban,29.5,,1057.0,
1989,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,,1933.0,
1989,57,113.0,McLean,11,Central,Mostly Urban,16.5,,2637.0,
1989,58,115.0,Macon,6,Central,Mostly Urban,15.3,,5530.0,
1989,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,,1743.0,
1989,60,119.0,Madison,3,Southern,Mostly Urban,13.3,,9825.0,
1989,61,121.0,Marion,4,Southern,Mostly Urban,45.1,,2133.0,
1989,62,123.0,Marshall,10,Central,Completely Rural,100.0,,290.0,
1989,63,125.0,Mason,8,Central,Mostly Rural,77.5,,704.0,
1989,64,127.0,Massac,1,Southern,Mostly Rural,50.5,,879.0,
1989,65,129.0,Menard,8,Central,Mostly Rural,75.7,,298.0,
1989,66,131.0,Mercer,14,Central,Mostly Rural,77.8,,578.0,
1989,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,,269.0,
1989,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,,1251.0,
1989,69,137.0,Morgan,7,Central,Mostly Urban,36.2,,1239.0,
1989,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,,387.0,
1989,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,,1042.0,
1989,72,143.0,Peoria,10,Central,Mostly Urban,14.6,,8876.0,
1989,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,870.0,
1989,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,346.0,
