year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,attack_school_personnel,offense_against_children,attack_school_personnel_rate,offense_against_children_rate
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,16629,4.0,211.0,24.1,1268.9
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2584,0.0,6.0,0.0,232.2
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3738,0.0,2.0,0.0,53.5
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,10594,4.0,129.0,37.8,1217.7
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,1208,0.0,0.0,0.0,0.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8631,0.0,26.0,0.0,301.2
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1148,0.0,0.0,0.0,0.0
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,3971,0.0,50.0,0.0,1259.1
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,3247,0.0,1.0,0.0,30.8
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,36539,37.0,525.0,101.3,1436.8
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,8320,1.0,7.0,12.0,84.1
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3972,4.0,2.0,100.7,50.4
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3385,0.0,6.0,0.0,177.3
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,8633,0.0,9.0,0.0,104.3
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,10306,4.0,11.0,38.8,106.7
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1307817,743.0,18851.0,56.8,1441.4
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4641,3.0,23.0,64.6,495.6
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2884,0.0,4.0,0.0,138.7
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,18383,0.0,23.0,0.0,125.1
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3995,0.0,5.0,0.0,125.2
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5198,1.0,4.0,19.2,77.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,221009,40.0,929.0,18.1,420.3
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4738,1.0,8.0,21.1,168.8
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1629,0.0,0.0,0.0,0.0
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9374,1.0,125.0,10.7,1333.5
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5007,0.0,11.0,0.0,219.7
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,3546,0.0,6.0,0.0,169.2
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,8991,2.0,12.0,22.2,133.5
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8464,2.0,18.0,23.6,212.7
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1436,0.0,0.0,0.0,0.0
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,3728,0.0,0.0,0.0,0.0
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,9188,0.0,42.0,0.0,457.1
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,1970,0.0,0.0,0.0,0.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,5023,0.0,0.0,0.0,0.0
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,1027,0.0,1.0,0.0,97.4
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,1895,0.0,0.0,0.0,0.0
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,12686,1.0,33.0,7.9,260.1
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,7777,1.0,6.0,12.9,77.2
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,11331,2.0,54.0,17.7,476.6
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,2696,0.0,1.0,0.0,37.1
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,9455,0.0,68.0,0.0,719.2
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,5266,1.0,18.0,19.0,341.8
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,5187,0.0,18.0,0.0,347.0
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,2256,0.0,1.0,0.0,44.3
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,106034,28.0,350.0,26.4,330.1
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,27076,13.0,315.0,48.0,1163.4
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,13353,0.0,67.0,0.0,501.8
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,12202,1.0,29.0,8.2,237.7
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,165124,18.0,394.0,10.9,238.6
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,26765,10.0,104.0,37.4,388.6
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,3551,0.0,3.0,0.0,84.5
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,8613,9.0,28.0,104.5,325.1
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,9616,1.0,140.0,10.4,1455.9
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,6810,0.0,85.0,0.0,1248.2
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,5919,0.0,0.0,0.0,0.0
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,67714,1.0,129.0,1.5,190.5
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,32359,0.0,54.0,0.0,166.9
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,28234,15.0,742.0,53.1,2628.0
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,11711,0.0,19.0,0.0,162.2
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,62156,31.0,772.0,49.9,1242.0
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,10460,0.0,82.0,0.0,783.9
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,2965,0.0,1.0,0.0,33.7
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,3900,0.0,9.0,0.0,230.8
1996,64,127.0,Massac,1,Southern,Mostly Rural,50.5,3408,1.0,12.0,29.3,352.1
1996,65,129.0,Menard,8,Central,Mostly Rural,75.7,3128,0.0,7.0,0.0,223.8
1996,66,131.0,Mercer,14,Central,Mostly Rural,77.8,4130,0.0,19.0,0.0,460.0
1996,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,6478,0.0,7.0,0.0,108.1
1996,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,7170,0.0,13.0,0.0,181.3
1996,69,137.0,Morgan,7,Central,Mostly Urban,36.2,8253,25.0,45.0,302.9,545.3
1996,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,3501,0.0,19.0,0.0,542.7
1996,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,13046,4.0,52.0,30.7,398.6
1996,72,143.0,Peoria,10,Central,Mostly Urban,14.6,45277,69.0,1368.0,152.4,3021.4
1996,73,145.0,Perry,20,Southern,Mostly Urban,43.6,5089,2.0,7.0,39.3,137.6
1996,74,147.0,Piatt,6,Central,Mostly Rural,67.7,3879,0.0,24.0,0.0,618.7
1996,75,149.0,Pike,8,Central,Mostly Rural,72.3,4099,0.0,0.0,0.0,0.0
1996,76,151.0,Pope,1,Southern,Completely Rural,100.0,895,0.0,7.0,0.0,782.1
1996,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,2003,4.0,3.0,199.7,149.8
1996,78,155.0,Putnam,10,Central,Completely Rural,100.0,1411,0.0,1.0,0.0,70.9
1996,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,7580,0.0,8.0,0.0,105.5
1996,80,159.0,Richland,2,Southern,Mostly Urban,43.5,3945,0.0,114.0,0.0,2889.7
1996,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,34992,15.0,411.0,42.9,1174.6
1996,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,70560,11.0,370.0,15.6,524.4
1996,83,165.0,Saline,1,Southern,Mostly Urban,43.7,6134,0.0,36.0,0.0,586.9
1996,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,46076,51.0,802.0,110.7,1740.6
1996,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,1672,0.0,0.0,0.0,0.0
1996,86,171.0,Scott,7,Central,Completely Rural,100.0,1355,0.0,4.0,0.0,295.2
1996,87,173.0,Shelby,4,Central,Mostly Rural,77.7,5626,1.0,7.0,17.8,124.4
1996,88,175.0,Stark,10,Central,Completely Rural,100.0,1556,0.0,8.0,0.0,514.1
1996,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,12022,9.0,134.0,74.9,1114.6
1996,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,30722,5.0,246.0,16.3,800.7
1996,91,181.0,Union,1,Southern,Mostly Rural,65.9,4058,0.0,0.0,0.0,0.0
1996,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,20670,3.0,235.0,14.5,1136.9
1996,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,3071,0.0,11.0,0.0,358.2
1996,94,187.0,Warren,9,Central,Mostly Urban,45.5,4349,0.0,18.0,0.0,413.9
1996,95,189.0,Washington,20,Southern,Mostly Rural,73.6,3712,8.0,9.0,215.5,242.5
1996,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,3931,0.0,8.0,0.0,203.5
1996,97,193.0,White,2,Southern,Mostly Rural,62.0,3360,3.0,38.0,89.3,1131.0
1996,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,14964,2.0,35.0,13.4,233.9
1996,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,124782,5.0,412.0,4.0,330.2
1996,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,13490,8.0,37.0,59.3,274.3
1996,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,68676,2.0,53.0,2.9,77.2
1996,102,203.0,Woodford,11,Central,Mostly Rural,54.9,9141,0.0,18.0,0.0,196.9
1997,1,1.0,Adams,8,Central,Mostly Urban,32.6,16543,3.0,209.0,18.1,1263.4
1997,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,2496,0.0,6.0,0.0,240.4
1997,3,5.0,Bond,3,Southern,Mostly Rural,60.7,3722,0.0,0.0,0.0,0.0
1997,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,10898,5.0,168.0,45.9,1541.6
1997,5,9.0,Brown,8,Central,Mostly Urban,41.1,1179,0.0,0.0,0.0,0.0
1997,6,11.0,Bureau,13,Central,Mostly Rural,57.4,8558,0.0,87.0,0.0,1016.6
1997,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,1135,0.0,0.0,0.0,0.0
1997,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,3946,2.0,58.0,50.7,1469.8
1997,9,17.0,Cass,8,Central,Mostly Rural,52.1,3230,0.0,2.0,0.0,61.9
1997,10,19.0,Champaign,6,Central,Mostly Urban,12.7,36623,61.0,818.0,166.6,2233.6
1997,11,21.0,Christian,4,Central,Mostly Urban,43.5,8271,0.0,15.0,0.0,181.4
1997,12,23.0,Clark,5,Southern,Mostly Rural,59.5,3982,1.0,1.0,25.1,25.1
1997,13,25.0,Clay,4,Southern,Mostly Rural,64.7,3365,0.0,4.0,0.0,118.9
1997,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,8571,0.0,91.0,0.0,1061.7
1997,15,29.0,Coles,5,Central,Mostly Urban,24.3,10260,2.0,10.0,19.5,97.5
1997,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,1315086,1224.0,25515.0,93.1,1940.2
1997,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,4590,0.0,21.0,0.0,457.5
1997,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,2868,0.0,0.0,0.0,0.0
1997,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,18651,0.0,129.0,0.0,691.7
1997,20,39.0,De Witt,6,Central,Mostly Urban,48.8,3978,0.0,30.0,0.0,754.1
1997,21,41.0,Douglas,6,Central,Mostly Rural,61.6,5174,0.0,3.0,0.0,58.0
1997,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,223754,34.0,990.0,15.2,442.5
1997,23,45.0,Edgar,5,Central,Mostly Rural,51.8,4645,0.0,63.0,0.0,1356.3
1997,24,47.0,Edwards,2,Southern,Completely Rural,100.0,1587,0.0,2.0,0.0,126.0
1997,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,9375,0.0,143.0,0.0,1525.3
1997,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,5048,0.0,52.0,0.0,1030.1
1997,27,53.0,Ford,11,Central,Mostly Urban,41.8,3541,1.0,7.0,28.2,197.7
1997,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,8809,1.0,12.0,11.4,136.2
1997,29,57.0,Fulton,9,Central,Mostly Rural,60.0,8340,1.0,32.0,12.0,383.7
1997,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,1398,0.0,1.0,0.0,71.5
