year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,labor_force_population,employed,unemployed,unemployment_rate
1974,1,1.0,Adams,8,Central,Mostly Urban,32.6,33005.0,31369.0,1636.0,5.0
1974,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,4576.0,4040.0,536.0,11.7
1974,3,5.0,Bond,3,Southern,Mostly Rural,60.7,5605.0,5268.0,337.0,6.0
1974,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,12340.0,11864.0,476.0,3.9
1974,5,9.0,Brown,8,Central,Mostly Urban,41.1,2389.0,2344.0,45.0,1.9
1974,6,11.0,Bureau,13,Central,Mostly Rural,57.4,16894.0,15870.0,1024.0,6.1
1974,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,2252.0,2086.0,166.0,7.4
1974,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,6106.0,5869.0,237.0,3.9
1974,9,17.0,Cass,8,Central,Mostly Rural,52.1,4265.0,4143.0,122.0,2.9
1974,10,19.0,Champaign,6,Central,Mostly Urban,12.7,69835.0,67625.0,2210.0,3.2
1974,11,21.0,Christian,4,Central,Mostly Urban,43.5,15988.0,15474.0,514.0,3.2
1974,12,23.0,Clark,5,Southern,Mostly Rural,59.5,5843.0,5653.0,190.0,3.3
1974,13,25.0,Clay,4,Southern,Mostly Rural,64.7,5845.0,5479.0,366.0,6.3
1974,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,10750.0,10253.0,497.0,4.6
1974,15,29.0,Coles,5,Central,Mostly Urban,24.3,23492.0,22816.0,676.0,2.9
1974,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,2549382.0,2438184.0,111198.0,4.4
1974,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,8495.0,8233.0,262.0,3.1
1974,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,4153.0,3930.0,223.0,5.4
1974,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,32218.0,30921.0,1297.0,4.0
1974,20,39.0,De Witt,6,Central,Mostly Urban,48.8,5548.0,5237.0,311.0,5.6
