year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1989,1,1.0,Adams,8,Central,Mostly Urban,32.6,,76.0,16.0,3.0,12.0,34.0,11.0,23.0,9.0,67.0,6.0,,,,,,,,,,
1989,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,25.0,5.0,1.0,10.0,8.0,1.0,11.0,2.0,23.0,4.0,,,,,,,,,,
1989,3,5.0,Bond,3,Southern,Mostly Rural,60.7,,15.0,3.0,,1.0,9.0,2.0,3.0,,15.0,1.0,,,,,,,,,,
1989,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,15.0,4.0,1.0,2.0,6.0,2.0,4.0,2.0,13.0,3.0,,,,,,,,,,
1989,5,9.0,Brown,8,Central,Mostly Urban,41.1,,3.0,1.0,,1.0,1.0,,1.0,,3.0,,,,,,,,,,,
1989,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,33.0,14.0,1.0,6.0,4.0,8.0,14.0,5.0,28.0,,,,,,,,,,,
1989,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,,4.0,1.0,,2.0,1.0,,2.0,,4.0,,,,,,,,,,,
1989,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,14.0,2.0,2.0,2.0,7.0,1.0,3.0,1.0,13.0,,,,,,,,,,,
1989,9,17.0,Cass,8,Central,Mostly Rural,52.1,,8.0,,1.0,4.0,2.0,1.0,5.0,1.0,7.0,2.0,,,,,,,,,,
1989,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,212.0,15.0,2.0,62.0,119.0,14.0,72.0,29.0,183.0,15.0,,,,,,,,,,
1989,11,21.0,Christian,4,Central,Mostly Urban,43.5,,26.0,4.0,2.0,3.0,10.0,7.0,9.0,,26.0,4.0,,,,,,,,,,
1989,12,23.0,Clark,5,Southern,Mostly Rural,59.5,,8.0,1.0,,3.0,4.0,,3.0,2.0,6.0,2.0,,,,,,,,,,
