year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,abuse_neglect,delinquency,other,abuse_neglect_rate,delinquency_rate,other_rate
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,7129,77.0,34.0,39.0,1080.1,476.9,547.1
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1093,14.0,0.0,17.0,1280.9,0.0,1555.4
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,1611,27.0,2.0,1.0,1676.0,124.1,62.1
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4428,161.0,13.0,3.0,3636.0,293.6,67.8
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,527,13.0,5.0,0.0,2466.8,948.8,0.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,3839,145.0,15.0,8.0,3777.0,390.7,208.4
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,511,8.0,0.0,0.0,1565.6,0.0,0.0
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,1817,41.0,14.0,2.0,2256.5,770.5,110.1
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,1408,72.0,4.0,6.0,5113.6,284.1,426.1
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,14392,169.0,116.0,1.0,1174.3,806.0,6.9
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,3589,113.0,24.0,0.0,3148.5,668.7,0.0
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,1704,30.0,4.0,0.0,1760.6,234.7,0.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1463,26.0,3.0,0.0,1777.2,205.1,0.0
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,3773,121.0,3.0,1.0,3207.0,79.5,26.5
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,4360,137.0,27.0,6.0,3142.2,619.3,137.6
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,513911,18863.0,6689.0,0.0,3670.5,1301.6,0.0
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2097,67.0,9.0,2.0,3195.0,429.2,95.4
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1256,27.0,0.0,0.0,2149.7,0.0,0.0
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7453,191.0,71.0,30.0,2562.7,952.6,402.5
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1698,93.0,5.0,8.0,5477.0,294.5,471.1
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,2278,12.0,2.0,0.0,526.8,87.8,0.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,88366,1452.0,238.0,53.0,1643.2,269.3,60.0
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2147,88.0,8.0,0.0,4098.7,372.6,0.0
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,712,35.0,0.0,2.0,4915.7,0.0,280.9
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,3917,178.0,3.0,15.0,4544.3,76.6,382.9
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,2183,62.0,3.0,8.0,2840.1,137.4,366.5
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,1587,26.0,4.0,0.0,1638.3,252.0,0.0
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,4022,107.0,14.0,23.0,2660.4,348.1,571.9
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,3808,52.0,26.0,0.0,1365.5,682.8,0.0
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,621,12.0,4.0,0.0,1932.4,644.1,0.0
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,1646,15.0,3.0,2.0,911.3,182.3,121.5
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,3992,70.0,5.0,1.0,1753.5,125.3,25.1
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,862,16.0,2.0,5.0,1856.1,232.0,580.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2263,15.0,1.0,4.0,662.8,44.2,176.8
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,446,12.0,5.0,1.0,2690.6,1121.1,224.2
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,850,4.0,5.0,0.0,470.6,588.2,0.0
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,5727,67.0,45.0,16.0,1169.9,785.8,279.4
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,3483,146.0,20.0,8.0,4191.8,574.2,229.7
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,4683,81.0,13.0,9.0,1729.7,277.6,192.2
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,1242,33.0,2.0,3.0,2657.0,161.0,241.5
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,4123,27.0,26.0,8.0,654.9,630.6,194.0
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,2342,32.0,16.0,3.0,1366.4,683.2,128.1
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,2310,16.0,14.0,0.0,692.6,606.1,0.0
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,992,38.0,8.0,3.0,3830.6,806.5,302.4
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,41573,560.0,157.0,22.0,1347.0,377.6,52.9
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,11262,265.0,100.0,92.0,2353.0,887.9,816.9
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,5517,79.0,24.0,15.0,1431.9,435.0,271.9
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,5298,65.0,14.0,0.0,1226.9,264.3,0.0
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,64093,772.0,586.0,24.0,1204.5,914.3,37.4
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,11562,313.0,34.0,37.0,2707.1,294.1,320.0
