year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total,total_rate
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,68680,728.0,1060.0
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9889,48.0,485.4
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17267,10.0,57.9
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,37956,233.0,613.9
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,6765,0.0,0.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35814,63.0,175.9
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5146,1.0,19.4
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16925,78.0,460.9
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,13612,24.0,176.3
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,175018,2919.0,1667.8
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,35664,76.0,213.1
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16671,22.0,132.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14589,30.0,205.6
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35227,16.0,45.4
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,53132,223.0,419.7
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5306511,59482.0,1120.9
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20891,50.0,239.3
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11198,14.0,125.0
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,83947,143.0,170.3
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16736,21.0,125.5
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,38.0,192.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,863785,2946.0,341.1
