year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,cannabis_control_act,controlled_substance_act,drug_paraphernalia_control_act,hypodermic_syringes_and_neddles_act,methamphetamine,cannabis_control_act_rate,controlled_substance_act_rate,drug_paraphernalia_control_act_rate,hypodermic_syringes_and_neddles_act_rate,methamphetamine_rate
1975,1,1.0,Adams,8,Central,Mostly Urban,32.6,72300,61.0,1.0,,,,84.4,1.4,,,
1975,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12400,17.0,2.0,,,,137.1,16.1,,,
1975,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15600,9.0,9.0,,,,57.7,57.7,,,
1975,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,27400,54.0,1.0,,,,197.1,3.6,,,
1975,5,9.0,Brown,8,Central,Mostly Urban,41.1,5600,,0.0,,,,,0.0,,,
1975,6,11.0,Bureau,13,Central,Mostly Rural,57.4,37800,8.0,2.0,,,,21.2,5.3,,,
1975,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5800,6.0,0.0,,,,103.4,0.0,,,
1975,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19600,10.0,2.0,,,,51.0,10.2,,,
1975,9,17.0,Cass,8,Central,Mostly Rural,52.1,14600,5.0,0.0,,,,34.2,0.0,,,
1975,10,19.0,Champaign,6,Central,Mostly Urban,12.7,166300,125.0,65.0,,,,75.2,39.1,,,
1975,11,21.0,Christian,4,Central,Mostly Urban,43.5,37000,12.0,6.0,,,,32.4,16.2,,,
1975,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16400,3.0,1.0,,,,18.3,6.1,,,
1975,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15300,1.0,0.0,,,,6.5,0.0,,,
1975,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,29900,10.0,1.0,,,,33.4,3.3,,,
1975,15,29.0,Coles,5,Central,Mostly Urban,24.3,50300,84.0,54.0,,,,167.0,107.4,,,
1975,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5398300,2614.0,8945.0,,,,48.4,165.7,,,
1975,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20300,21.0,1.0,,,,103.4,4.9,,,
1975,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10600,7.0,10.0,,,,66.0,94.3,,,
1975,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,72600,101.0,10.0,,,,139.1,13.8,,,
1975,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17600,5.0,6.0,,,,28.4,34.1,,,
1975,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19800,9.0,0.0,,,,45.5,0.0,,,
1975,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,567800,923.0,173.0,,,,162.6,30.5,,,
1975,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21600,11.0,2.0,,,,50.9,9.3,,,
1975,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7600,19.0,0.0,,,,250.0,0.0,,,
1975,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,28000,15.0,4.0,,,,53.6,14.3,,,
1975,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21300,14.0,1.0,,,,65.7,4.7,,,
1975,27,53.0,Ford,11,Central,Mostly Urban,41.8,15300,16.0,0.0,,,,104.6,0.0,,,
1975,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,41400,140.0,20.0,,,,338.2,48.3,,,
1975,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43400,31.0,31.0,,,,71.4,71.4,,,
1975,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7700,8.0,2.0,,,,103.9,26.0,,,
1975,31,61.0,Greene,7,Central,Mostly Rural,70.8,17300,27.0,16.0,,,,156.1,92.5,,,
1975,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,28400,20.0,6.0,,,,70.4,21.1,,,
1975,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8800,,0.0,,,,,0.0,,,
1975,34,67.0,Hancock,9,Central,Mostly Rural,71.0,22900,16.0,18.0,,,,69.9,78.6,,,
1975,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5200,2.0,0.0,,,,38.5,0.0,,,
1975,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8600,20.0,6.0,,,,232.6,69.8,,,
1975,37,73.0,Henry,14,Central,Mostly Rural,50.3,56000,52.0,9.0,,,,92.9,16.1,,,
1975,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33900,68.0,0.0,,,,200.6,0.0,,,
1975,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,57300,36.0,29.0,,,,62.8,50.6,,,
1975,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11200,6.0,16.0,,,,53.6,142.9,,,
1975,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,33800,4.0,2.0,,,,11.8,5.9,,,
1975,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,19700,29.0,9.0,,,,147.2,45.7,,,
1975,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22700,14.0,5.0,,,,61.7,22.0,,,
1975,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9000,8.0,0.0,,,,88.9,0.0,,,
1975,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,267600,370.0,80.0,,,,138.3,29.9,,,
1975,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,100000,192.0,40.0,,,,192.0,40.0,,,
1975,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,31200,10.0,7.0,,,,32.1,22.4,,,
1975,48,95.0,Knox,9,Central,Mostly Urban,24.3,62300,71.0,31.0,,,,114.0,49.8,,,
1975,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,408000,579.0,140.0,,,,141.9,34.3,,,
1975,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110000,142.0,21.0,,,,129.1,19.1,,,
1975,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,17900,1.0,1.0,,,,5.6,5.6,,,
1975,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36900,63.0,7.0,,,,170.7,19.0,,,
1975,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41700,54.0,8.0,,,,129.5,19.2,,,
