year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,total,total_rate
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,68680,0.0,0.0
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9889,1.0,10.1
1996,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17267,0.0,0.0
1996,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,37956,5.0,13.2
1996,5,9.0,Brown,8,Central,Mostly Urban,41.1,6765,0.0,0.0
1996,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35814,1.0,2.8
1996,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5146,0.0,0.0
1996,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16925,0.0,0.0
1996,9,17.0,Cass,8,Central,Mostly Rural,52.1,13612,3.0,22.0
1996,10,19.0,Champaign,6,Central,Mostly Urban,12.7,175018,13.0,7.4
1996,11,21.0,Christian,4,Central,Mostly Urban,43.5,35664,0.0,0.0
1996,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16671,0.0,0.0
1996,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14589,0.0,0.0
1996,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35227,0.0,0.0
1996,15,29.0,Coles,5,Central,Mostly Urban,24.3,53132,0.0,0.0
1996,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5306511,113.0,2.1
1996,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20891,1.0,4.8
1996,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11198,0.0,0.0
1996,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,83947,1.0,1.2
1996,20,39.0,De Witt,6,Central,Mostly Urban,48.8,16736,1.0,6.0
1996,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,0.0,0.0
1996,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,863785,20.0,2.3
1996,23,45.0,Edgar,5,Central,Mostly Rural,51.8,20303,0.0,0.0
1996,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7177,0.0,0.0
1996,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,33498,0.0,0.0
1996,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21408,0.0,0.0
1996,27,53.0,Ford,11,Central,Mostly Urban,41.8,14239,2.0,14.0
1996,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,40095,4.0,10.0
1996,29,57.0,Fulton,9,Central,Mostly Rural,60.0,38840,0.0,0.0
1996,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,6654,0.0,0.0
1996,31,61.0,Greene,7,Central,Mostly Rural,70.8,15075,0.0,0.0
1996,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,35651,2.0,5.6
1996,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8633,0.0,0.0
1996,34,67.0,Hancock,9,Central,Mostly Rural,71.0,20844,0.0,0.0
1996,35,69.0,Hardin,2,Southern,Completely Rural,100.0,4978,0.0,0.0
1996,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8260,0.0,0.0
1996,37,73.0,Henry,14,Central,Mostly Rural,50.3,51075,0.0,0.0
1996,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,31649,0.0,0.0
1996,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60875,4.0,6.6
1996,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,10465,1.0,9.6
1996,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,39557,1.0,2.5
1996,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,21288,0.0,0.0
1996,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,22252,0.0,0.0
1996,44,87.0,Johnson,1,Southern,Completely Rural,100.0,12594,0.0,0.0
1996,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,366912,3.0,0.8
1996,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,102296,2.0,2.0
1996,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,47218,0.0,0.0
1996,48,95.0,Knox,9,Central,Mostly Urban,24.3,56114,0.0,0.0
1996,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,596182,8.0,1.3
1996,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110660,1.0,0.9
1996,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,16025,0.0,0.0
1996,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36029,0.0,0.0
1996,53,105.0,Livingston,11,Central,Mostly Urban,40.8,39601,1.0,2.5
1996,54,107.0,Logan,11,Central,Mostly Urban,39.9,31014,1.0,3.2
1996,55,109.0,McDonough,9,Central,Mostly Urban,29.5,33508,0.0,0.0
1996,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,235954,1.0,0.4
1996,57,113.0,McLean,11,Central,Mostly Urban,16.5,142363,4.0,2.8
1996,58,115.0,Macon,6,Central,Mostly Urban,15.3,116573,0.0,0.0
1996,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48930,0.0,0.0
1996,60,119.0,Madison,3,Southern,Mostly Urban,13.3,257218,10.0,3.9
1996,61,121.0,Marion,4,Southern,Mostly Urban,45.1,42123,0.0,0.0
1996,62,123.0,Marshall,10,Central,Completely Rural,100.0,12949,0.0,0.0
1996,63,125.0,Mason,8,Central,Mostly Rural,77.5,16262,2.0,12.3
1996,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15208,1.0,6.6
1996,65,129.0,Menard,8,Central,Mostly Rural,75.7,12154,0.0,0.0
1996,66,131.0,Mercer,14,Central,Mostly Rural,77.8,17026,0.0,0.0
1996,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,25408,1.0,3.9
1996,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,30690,0.0,0.0
1996,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37104,2.0,5.4
1996,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14128,0.0,0.0
1996,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,49810,0.0,0.0
1996,72,143.0,Peoria,10,Central,Mostly Urban,14.6,184720,76.0,41.1
1996,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21457,0.0,0.0
1996,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16144,0.0,0.0
1996,75,149.0,Pike,8,Central,Mostly Rural,72.3,17253,0.0,0.0
1996,76,151.0,Pope,1,Southern,Completely Rural,100.0,4407,0.0,0.0
1996,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,7421,0.0,0.0
1996,78,155.0,Putnam,10,Central,Completely Rural,100.0,5871,0.0,0.0
1996,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,34032,0.0,0.0
1996,80,159.0,Richland,2,Southern,Mostly Urban,43.5,16420,0.0,0.0
1996,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,149856,5.0,3.3
1996,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,261907,2.0,0.8
1996,83,165.0,Saline,1,Southern,Mostly Urban,43.7,27076,0.0,0.0
1996,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,189969,6.0,3.2
1996,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,7490,0.0,0.0
1996,86,171.0,Scott,7,Central,Completely Rural,100.0,5539,0.0,0.0
1996,87,173.0,Shelby,4,Central,Mostly Rural,77.7,22948,2.0,8.7
1996,88,175.0,Stark,10,Central,Completely Rural,100.0,6444,0.0,0.0
1996,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49233,1.0,2.0
1996,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,127753,2.0,1.6
1996,91,181.0,Union,1,Southern,Mostly Rural,65.9,18281,0.0,0.0
1996,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,85298,1.0,1.2
1996,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,12971,0.0,0.0
1996,94,187.0,Warren,9,Central,Mostly Urban,45.5,18905,0.0,0.0
1996,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15155,0.0,0.0
1996,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17141,0.0,0.0
1996,97,193.0,White,2,Southern,Mostly Rural,62.0,15674,0.0,0.0
1996,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,60957,1.0,1.6
1996,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,434620,11.0,2.5
1996,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,60628,1.0,1.6
1996,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,271688,0.0,0.0
1996,102,203.0,Woodford,11,Central,Mostly Rural,54.9,34656,0.0,0.0
1997,1,1.0,Adams,8,Central,Mostly Urban,32.6,68715,2.0,2.9
1997,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,9659,0.0,0.0
1997,3,5.0,Bond,3,Southern,Mostly Rural,60.7,17378,0.0,0.0
1997,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,38853,0.0,0.0
1997,5,9.0,Brown,8,Central,Mostly Urban,41.1,6815,0.0,0.0
1997,6,11.0,Bureau,13,Central,Mostly Rural,57.4,35884,0.0,0.0
1997,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5155,0.0,0.0
1997,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,16946,7.0,41.3
1997,9,17.0,Cass,8,Central,Mostly Rural,52.1,13652,0.0,0.0
1997,10,19.0,Champaign,6,Central,Mostly Urban,12.7,176626,25.0,14.2
1997,11,21.0,Christian,4,Central,Mostly Urban,43.5,35600,0.0,0.0
1997,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16768,0.0,0.0
1997,13,25.0,Clay,4,Southern,Mostly Rural,64.7,14607,0.0,0.0
1997,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,35264,0.0,0.0
