year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,1,1.0,Adams,8,Central,Mostly Urban,32.6,71174,45.0,4.0,54.0,326.0,8.0,3.0,6.0,5.0,63.2,5.6,75.9,458.0,11.2,4.2,8.4,7.0
1982,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12056,75.0,0.0,32.0,57.0,2.0,1.0,10.0,2.0,622.1,0.0,265.4,472.8,16.6,8.3,82.9,16.6
1982,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16132,0.0,0.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12.4,117.8,18.6,0.0,0.0,0.0
1982,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29213,7.0,0.0,41.0,102.0,5.0,0.0,0.0,0.0,24.0,0.0,140.3,349.2,17.1,0.0,0.0,0.0
1982,5,9.0,Brown,8,Central,Mostly Urban,41.1,5588,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,161.1,0.0,0.0,0.0,0.0
1982,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38790,18.0,2.0,22.0,44.0,6.0,0.0,0.0,1.0,46.4,5.2,56.7,113.4,15.5,0.0,0.0,2.6
1982,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5739,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,0.0,0.0,0.0,0.0,0.0
1982,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18548,7.0,1.0,26.0,32.0,2.0,0.0,1.0,0.0,37.7,5.4,140.2,172.5,10.8,0.0,5.4,0.0
1982,9,17.0,Cass,8,Central,Mostly Rural,52.1,14785,4.0,0.0,1.0,22.0,2.0,0.0,1.0,0.0,27.1,0.0,6.8,148.8,13.5,0.0,6.8,0.0
1982,10,19.0,Champaign,6,Central,Mostly Urban,12.7,171586,238.0,7.0,254.0,1152.0,22.0,13.0,49.0,9.0,138.7,4.1,148.0,671.4,12.8,7.6,28.6,5.2
1982,11,21.0,Christian,4,Central,Mostly Urban,43.5,36279,9.0,1.0,30.0,87.0,0.0,2.0,2.0,0.0,24.8,2.8,82.7,239.8,0.0,5.5,5.5,0.0
1982,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17071,17.0,0.0,2.0,21.0,4.0,0.0,0.0,0.0,99.6,0.0,11.7,123.0,23.4,0.0,0.0,0.0
1982,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15706,10.0,0.0,12.0,13.0,4.0,1.0,0.0,0.0,63.7,0.0,76.4,82.8,25.5,6.4,0.0,0.0
1982,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33597,8.0,1.0,23.0,22.0,1.0,0.0,0.0,1.0,23.8,3.0,68.5,65.5,3.0,0.0,0.0,3.0
1982,15,29.0,Coles,5,Central,Mostly Urban,24.3,52857,17.0,0.0,58.0,246.0,11.0,1.0,5.0,0.0,32.2,0.0,109.7,465.4,20.8,1.9,9.5,0.0
1982,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5222484,2700.0,390.0,10330.0,49827.0,4139.0,1068.0,6567.0,870.0,51.7,7.5,197.8,954.1,79.3,20.5,125.7,16.7
1982,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21292,8.0,1.0,6.0,11.0,0.0,1.0,0.0,0.0,37.6,4.7,28.2,51.7,0.0,4.7,0.0,0.0
1982,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10966,8.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,73.0,0.0,18.2,109.4,0.0,0.0,0.0,0.0
1982,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74399,26.0,3.0,91.0,281.0,13.0,1.0,9.0,0.0,34.9,4.0,122.3,377.7,17.5,1.3,12.1,0.0
1982,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17861,10.0,0.0,21.0,27.0,3.0,0.0,0.0,0.0,56.0,0.0,117.6,151.2,16.8,0.0,0.0,0.0
1982,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,0.0,0.0,6.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,30.3,106.1,5.1,0.0,0.0,0.0
1982,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,682289,255.0,31.0,546.0,2286.0,111.0,9.0,78.0,10.0,37.4,4.5,80.0,335.0,16.3,1.3,11.4,1.5
1982,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21729,31.0,1.0,44.0,64.0,4.0,0.0,4.0,0.0,142.7,4.6,202.5,294.5,18.4,0.0,18.4,0.0
1982,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8129,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,36.9,0.0,0.0,172.2,0.0,0.0,0.0,0.0
1982,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31167,15.0,0.0,35.0,88.0,6.0,0.0,9.0,0.0,48.1,0.0,112.3,282.3,19.3,0.0,28.9,0.0
1982,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22282,3.0,0.0,7.0,40.0,4.0,0.0,0.0,1.0,13.5,0.0,31.4,179.5,18.0,0.0,0.0,4.5
1982,27,53.0,Ford,11,Central,Mostly Urban,41.8,15311,3.0,2.0,5.0,10.0,8.0,0.0,6.0,0.0,19.6,13.1,32.7,65.3,52.3,0.0,39.2,0.0
1982,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43561,29.0,1.0,50.0,100.0,2.0,1.0,1.0,1.0,66.6,2.3,114.8,229.6,4.6,2.3,2.3,2.3
1982,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43107,20.0,5.0,60.0,122.0,7.0,0.0,1.0,2.0,46.4,11.6,139.2,283.0,16.2,0.0,2.3,4.6
1982,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7719,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,25.9,0.0,13.0,64.8,0.0,0.0,0.0,13.0
1982,31,61.0,Greene,7,Central,Mostly Rural,70.8,16519,3.0,0.0,14.0,32.0,1.0,0.0,0.0,0.0,18.2,0.0,84.8,193.7,6.1,0.0,0.0,0.0
1982,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30677,16.0,1.0,23.0,38.0,9.0,0.0,1.0,0.0,52.2,3.3,75.0,123.9,29.3,0.0,3.3,0.0
1982,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23781,6.0,1.0,53.0,40.0,6.0,0.0,6.0,0.0,25.2,4.2,222.9,168.2,25.2,0.0,25.2,0.0
1982,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5388,1.0,0.0,7.0,25.0,0.0,0.0,0.0,5.0,18.6,0.0,129.9,464.0,0.0,0.0,0.0,92.8
1982,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8976,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,11.1,0.0,89.1,33.4,0.0,0.0,0.0,0.0
1982,37,73.0,Henry,14,Central,Mostly Rural,50.3,56769,7.0,1.0,18.0,101.0,7.0,3.0,1.0,0.0,12.3,1.8,31.7,177.9,12.3,5.3,1.8,0.0
1982,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33081,7.0,0.0,7.0,30.0,2.0,1.0,0.0,0.0,21.2,0.0,21.2,90.7,6.0,3.0,0.0,0.0
1982,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,62399,58.0,3.0,28.0,529.0,8.0,1.0,9.0,0.0,93.0,4.8,44.9,847.8,12.8,1.6,14.4,0.0
1982,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11491,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,17.4,0.0,17.4,130.5,0.0,0.0,0.0,0.0
1982,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,38004,42.0,2.0,53.0,183.0,4.0,1.0,7.0,2.0,110.5,5.3,139.5,481.5,10.5,2.6,18.4,5.3
1982,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20611,14.0,0.0,35.0,90.0,1.0,0.0,0.0,1.0,67.9,0.0,169.8,436.7,4.9,0.0,0.0,4.9
1982,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23469,7.0,6.0,20.0,28.0,9.0,1.0,0.0,0.0,29.8,25.6,85.2,119.3,38.3,4.3,0.0,0.0
1982,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9964,7.0,0.0,4.0,14.0,2.0,0.0,2.0,0.0,70.3,0.0,40.1,140.5,20.1,0.0,20.1,0.0
1982,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,278859,286.0,16.0,466.0,1938.0,60.0,12.0,91.0,15.0,102.6,5.7,167.1,695.0,21.5,4.3,32.6,5.4
1982,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,101218,79.0,4.0,151.0,713.0,28.0,5.0,36.0,6.0,78.0,4.0,149.2,704.4,27.7,4.9,35.6,5.9
1982,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37531,9.0,0.0,11.0,54.0,2.0,0.0,3.0,0.0,24.0,0.0,29.3,143.9,5.3,0.0,8.0,0.0
1982,48,95.0,Knox,9,Central,Mostly Urban,24.3,59943,37.0,2.0,123.0,315.0,15.0,1.0,11.0,2.0,61.7,3.3,205.2,525.5,25.0,1.7,18.4,3.3
1982,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,451470,394.0,40.0,765.0,2873.0,97.0,16.0,164.0,26.0,87.3,8.9,169.4,636.4,21.5,3.5,36.3,5.8
1982,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,109687,45.0,3.0,93.0,300.0,26.0,1.0,5.0,0.0,41.0,2.7,84.8,273.5,23.7,0.9,4.6,0.0
1982,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18232,24.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,131.6,0.0,16.5,32.9,0.0,0.0,0.0,0.0
1982,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35724,8.0,2.0,46.0,54.0,7.0,0.0,5.0,3.0,22.4,5.6,128.8,151.2,19.6,0.0,14.0,8.4
1982,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41003,6.0,0.0,27.0,54.0,6.0,0.0,2.0,3.0,14.6,0.0,65.8,131.7,14.6,0.0,4.9,7.3
1982,54,107.0,Logan,11,Central,Mostly Urban,39.9,31419,26.0,1.0,30.0,44.0,4.0,0.0,0.0,0.0,82.8,3.2,95.5,140.0,12.7,0.0,0.0,0.0
1982,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38348,19.0,2.0,11.0,114.0,8.0,0.0,0.0,0.0,49.5,5.2,28.7,297.3,20.9,0.0,0.0,0.0
