year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,death,imprisonment,other,probation,death_rate,imprisonment_rate,other_rate,probation_rate
1982,1,1.0,Adams,8,Central,Mostly Urban,32.6,71174,0.0,44.0,,74.0,0.0,61.8,,104.0
1982,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12056,0.0,19.0,,46.0,0.0,157.6,,381.6
1982,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16132,0.0,11.0,,21.0,0.0,68.2,,130.2
1982,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29213,0.0,8.0,,38.0,0.0,27.4,,130.1
1982,5,9.0,Brown,8,Central,Mostly Urban,41.1,5588,0.0,4.0,,5.0,0.0,71.6,,89.5
1982,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38790,0.0,17.0,,47.0,0.0,43.8,,121.2
1982,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5739,0.0,5.0,,5.0,0.0,87.1,,87.1
1982,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18548,0.0,9.0,,30.0,0.0,48.5,,161.7
1982,9,17.0,Cass,8,Central,Mostly Rural,52.1,14785,0.0,10.0,,17.0,0.0,67.6,,115.0
1982,10,19.0,Champaign,6,Central,Mostly Urban,12.7,171586,0.0,174.0,,184.0,0.0,101.4,,107.2
1982,11,21.0,Christian,4,Central,Mostly Urban,43.5,36279,0.0,11.0,,32.0,0.0,30.3,,88.2
1982,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17071,0.0,16.0,,35.0,0.0,93.7,,205.0
1982,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15706,0.0,20.0,,18.0,0.0,127.3,,114.6
1982,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33597,0.0,12.0,,8.0,0.0,35.7,,23.8
1982,15,29.0,Coles,5,Central,Mostly Urban,24.3,52857,0.0,58.0,,102.0,0.0,109.7,,193.0
1982,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5222484,4.0,7171.0,,9728.0,0.1,137.3,,186.3
1982,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21292,0.0,5.0,,11.0,0.0,23.5,,51.7
1982,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10966,0.0,0.0,,11.0,0.0,0.0,,100.3
1982,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74399,0.0,35.0,,118.0,0.0,47.0,,158.6
1982,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17861,0.0,13.0,,9.0,0.0,72.8,,50.4
